caldt,crsp_fundno,mtna,mret,mnav
2003-03-31,016418,10.100,,
2003-04-30,016418,26.300,R,105.1794000
2003-05-30,016418,51.200,0.081863,113.7897000
2003-06-30,016418,107.400,0.048603,119.3202000
2003-07-31,016418,214.900,0.059248,126.3897000
2003-08-29,016418,297.800,0.071130,135.3798000
2003-09-30,016418,408.800,0.006429,136.2501000
2003-10-31,016418,592.700,0.087411,148.1598000
2003-11-28,016418,775.800,0.016735,150.6393000
2003-12-31,016418,1076.300,0.079994,161.8497000
2004-01-30,016418,1491.500,0.029655,166.6494000
2004-02-27,016418,1798.100,0.037507,172.8999000
2004-03-31,016418,1786.200,0.007865,174.2598000
2004-04-30,016418,1886.900,-0.082408,159.8994000
2004-05-28,016418,1726.400,-0.000310,159.8499000
2004-06-30,016418,1893.400,0.003817,160.4601000
2004-07-30,016418,1894.100,-0.024432,156.5397000
2004-08-31,016418,1958.600,0.034048,161.8695000
2004-09-30,016418,2074.900,0.059370,171.4797000
2004-10-29,016418,2408.000,0.032540,177.0597000
2004-11-30,016418,3533.900,0.099683,194.7096000
2004-12-31,016418,3894.000,0.043471,200.7198000
2005-01-31,016418,3945.300,0.005381,201.7998000
2005-02-28,016418,4534.300,0.090732,220.1094000
2005-03-31,016418,4298.200,-0.072328,204.1893000
2005-04-29,016418,4118.500,-0.025613,198.9594000
2005-05-31,016418,4719.900,0.035939,206.1099000
2005-06-30,016418,5615.000,0.039832,71.4399000
2005-07-29,016418,6907.200,0.077826,76.9998000
2005-08-31,016418,6988.900,0.011821,77.9100000
2005-09-30,016418,8189.300,0.084713,84.5100000
2005-10-31,016418,7519.400,-0.067330,78.8199000
2005-11-30,016418,9320.000,0.072572,84.5400000
2005-12-30,016418,10263.700,0.058743,88.5198000
2006-01-31,016418,12382.800,0.129012,99.9399000
2006-02-28,016418,12415.700,-0.023315,97.6098000
2006-03-31,016418,12811.100,0.017417,99.3099000
2006-04-28,016418,13507.800,0.061828,105.4500000
2006-05-31,016418,11931.200,-0.111522,93.6900000
2006-06-30,016418,11552.000,-0.001175,93.5799000
2006-07-31,016418,11999.900,0.021373,95.5800000
2006-08-31,016418,11968.500,0.019250,97.4199000
2006-09-29,016418,11385.100,-0.002464,97.1799000
2006-10-31,016418,13211.500,0.057521,102.7698000
2006-11-30,016418,13872.700,0.072590,110.2299000
2006-12-29,016418,15693.700,0.049634,114.0900000
2007-01-31,016418,15306.100,-0.006224,113.3799000
2007-02-28,016418,14118.400,-0.016405,111.5199000
2007-03-30,016418,14752.100,0.043668,116.3898000
2007-04-30,016418,16158.800,0.044679,121.5900000
2007-05-31,016418,17267.500,0.040380,126.4998000
2007-06-29,016418,18403.000,0.036206,131.0799000
2007-07-31,016418,18936.200,0.031126,135.1599000
2007-08-31,016418,18198.200,-0.005993,134.3499000
2007-09-28,016418,22497.000,0.111872,149.3799000
2007-10-31,016418,28487.700,0.103628,164.8599000
2007-11-30,016418,26728.300,-0.068240,153.6099000
2007-12-31,016418,28853.600,-0.000632,151.5819000
2008-01-31,016418,23194.400,-0.111409,134.6943000
2008-02-29,016418,26030.700,0.051742,141.6636000
2008-03-31,016418,23848.300,-0.052112,134.2812000
2008-04-30,016418,26329.300,0.090220,146.3961000
2008-05-30,016418,27269.300,0.030544,150.8676000
2008-06-30,016418,20934.500,-0.090863,135.6300000
2008-07-31,016418,22370.000,-0.046348,43.1146000
2008-08-29,016418,20305.800,-0.070510,40.0746000
2008-09-30,016418,19900.700,-0.155672,33.8361000
2008-10-31,016418,17316.900,-0.257148,25.1352000
2008-11-28,016418,15215.200,-0.088625,22.9076000
2008-12-31,016418,19210.400,0.090629,24.6335000
2009-01-30,016418,17990.200,-0.076311,22.7537000
2009-02-27,016418,17025.800,-0.059494,21.4000000
2009-03-31,016418,21210.200,0.153150,24.6774000
2009-04-30,016418,25767.800,0.160207,28.6309000
2009-05-29,016418,30792.700,0.150704,32.9457000
2009-06-30,016418,28448.700,-0.014562,32.2055000
2009-07-31,016418,31704.600,0.114449,35.8914000
2009-08-31,016418,30267.800,-0.011585,35.4756000
2009-09-30,016418,33738.500,0.092201,38.7465000
2009-10-30,016418,35027.300,-0.013787,38.2123000
2009-11-30,016418,37346.300,0.057379,40.4049000
2009-12-31,016418,39209.200,0.038889,41.6300000
2010-01-29,016418,36022.200,-0.067471,38.8212000
2010-02-26,016418,33185.700,0.004034,38.9778000
2010-03-31,016418,35098.800,0.079327,42.0698000
2010-04-30,016418,35746.800,0.007055,42.3666000
2010-05-28,016418,32863.100,-0.097046,38.2551000
2010-06-30,016418,34374.500,-0.005459,37.7970000
2010-07-30,016418,38963.200,0.090333,41.2113000
2010-08-31,016418,39767.100,-0.024852,40.1871000
2010-09-30,016418,45093.500,0.112190,44.6957000
2010-10-29,016418,48035.300,0.030314,46.0506000
2010-11-30,016418,46141.700,-0.026401,44.8348000
2010-12-31,016418,47459.000,0.069341,47.5500000
2011-01-31,016418,39166.800,-0.033558,45.9543000
2011-02-28,016418,36646.200,-0.003312,45.8021000
2011-03-31,016418,38622.300,0.056895,48.4080000
2011-04-29,016418,41670.300,0.030668,49.8926000
2011-05-31,016418,40129.500,-0.029129,48.4393000
2011-06-30,016418,38428.600,-0.015663,47.2067000
2011-07-29,016418,38381.900,-0.006158,46.9160000
2011-08-31,016418,33496.300,-0.089739,42.7058000
2011-09-30,016418,27472.700,-0.148060,36.3828000
2011-10-31,016418,35081.300,0.134316,41.2696000
2011-11-30,016418,32709.400,-0.063642,38.6431000
2011-12-30,016418,32493.300,-0.011632,37.8400000
2012-01-31,016418,37425.300,0.111718,42.0674000
2012-02-29,016418,41056.800,0.057453,44.4843000
2012-03-30,016418,39667.800,-0.032888,43.0213000
2012-04-30,016418,38515.200,-0.011692,42.5183000
2012-05-31,016418,32675.000,-0.114689,37.6419000
2012-06-29,016418,33799.400,0.040013,38.6765000
2012-07-31,016418,34499.900,0.018189,39.3800000
2012-08-31,016418,34362.200,-0.004063,39.2200000
2012-09-28,016418,37249.700,0.059408,41.5500000
2012-10-31,016418,38243.400,-0.006498,41.2800000
2012-11-30,016418,41086.100,0.012355,41.7900000
2012-12-31,016418,48189.600,0.049516,43.5800000
2013-01-31,016418,52185.600,0.012620,44.1300000
2013-02-28,016418,50761.800,-0.014276,43.5000000
2013-03-28,016418,45580.400,-0.019540,42.6500000
2013-04-30,016418,44967.400,0.009144,43.0400000
