Strategy,Ann. Mean,Ann. Std,Sharpe,IR,Max DD,Calmar,% Positive,Total Return,N Months
BMATR,0.10423736043720322,0.2652991242112802,0.392905030301533,,0.6629670394297068,0.15722857131309212,0.5154639175257731,2.0564854665824015,194
CODIS,0.1154521199328194,0.22250527243967624,0.5188736368668289,,0.431050537865434,0.26783894181999934,0.6030927835051546,3.333730692379161,194
COSTP,0.05971115296096629,0.16122596917530704,0.370356917476738,,0.4914515630435157,0.12149956872897187,0.5567010309278351,1.1270383163027118,194
ENEGY,0.10986776749775598,0.2539425984982006,0.43264803994094153,,0.5112077638162345,0.21491803386861416,0.520618556701031,2.510205219661346,194
FINAN,0.11237403327003806,0.2042303618055553,0.5502317690502243,,0.33006493529341163,0.3404603799253714,0.5773195876288659,3.3991683316405537,194
HLTHC,0.13683509765913737,0.2531295656398314,0.5405733514900227,,0.4431522819136383,0.3087766965076891,0.5721649484536082,4.511166859079431,194
INDUS,0.05967381781190301,0.2305967150397105,0.25877999954000525,,0.4463847824953173,0.13368246443869086,0.4845360824742268,0.7104765177403283,194
RLEST,0.11833535458045963,0.4243381780341009,0.27887039325259555,,0.7642355124659452,0.1548414757626599,0.5515463917525774,0.9437261560618846,194
TECNO,0.18058035612191303,0.2313831380534844,0.7804387028417418,,0.46268870909922205,0.3902847693722048,0.5824742268041238,10.916919348694853,194
TELCM,0.11779397620133397,0.17944918467605242,0.6564196789970349,,0.3674037655021589,0.32061178262649515,0.5412371134020618,4.16909590707204,194
UTILS,0.08381261919279792,0.2162192813785763,0.3876278686083097,,0.41559643149435155,0.20166828404044426,0.5979381443298969,1.6331962111527045,194
