Strategy,Ann. Mean,Ann. Std,Sharpe,IR,Max DD,Calmar,% Positive,Total Return,N Months
BMATR,0.07899081796627683,0.24217938235930805,0.326166567924773,,0.6177774179816502,0.1278629093053432,0.520618556701031,1.2470769614807717,194
CODIS,0.1079684251365998,0.22540993658522243,0.47898698155118535,,0.4595802415729576,0.23492834410606397,0.5824742268041238,2.8170110273925517,194
COSTP,0.04814838929806089,0.18205193082309148,0.2644761254680071,,0.6047471683166202,0.07961738693558035,0.5154639175257731,0.667183418692662,194
ENEGY,0.09429789008710465,0.23971100451226413,0.3933815649347052,,0.569105921210672,0.16569479700106193,0.520618556701031,1.8877575473233037,194
FINAN,0.11955134642586948,0.20900825536355197,0.5719934182404429,,0.3431985435672484,0.3483445622561154,0.5670103092783505,3.8568419264492304,194
HLTHC,0.11499952159187138,0.22485364589221749,0.5114416585755334,,0.4569960877393233,0.25164224525586887,0.5412371134020618,3.294723910280095,194
INDUS,0.07485140877904065,0.23156025760024265,0.3232480804554184,,0.46609232627486447,0.16059352312721664,0.4896907216494845,1.1764180824183947,194
RLEST,0.08988528422476161,0.3412851637793216,0.2633729612778665,,0.6978710852828443,0.12879926697110752,0.5618556701030928,0.6670732578000376,194
TECNO,0.1905185863741492,0.2096428256483554,0.9087770391614343,,0.4103129449413371,0.46432506876279,0.6185567010309279,14.075864188161857,194
TELCM,0.11608384276457218,0.18654524151779528,0.6222825188146034,,0.4431960739604645,0.2619243481270718,0.5257731958762887,3.9303416968939278,194
UTILS,0.1093117345007584,0.22104556955512086,0.4945212641934448,,0.39823294994781994,0.2744919387385735,0.5721649484536082,2.916519921806411,194
