,EqualWeight,InverseVol,MinVariance,MaxSharpe,RiskParity,HRP
BMATR,0.09090909090909115,0.06548334649548662,0.024765588528406657,0.08137734822115243,0.07730165947155633,0.061485841436401824
CODIS,0.09090909090909115,0.09871853348860331,0.05548832481436804,0.05956933236014118,0.08870980066877686,0.08416506689180071
COSTP,0.09090909090909115,0.15492733761629984,0.19942646516100385,0.09146152814378943,0.12709560980200774,0.1508179405721545
ENEGY,0.09090909090909115,0.06985386205552475,0.041555375849214225,0.054317376043387496,0.07841749182918994,0.0595774381843815
FINAN,0.09090909090909115,0.10532926362903867,0.07944587612735031,0.04928693245476494,0.08780402876784058,0.0788865547628073
HLTHC,0.09090909090909115,0.06529922004398965,0.08576637519649837,0.16918510199953973,0.09135061594544451,0.09586473467611063
INDUS,0.09090909090909115,0.0932079691525799,0.070361066124152,0.038768976912789105,0.08235925761945084,0.0700636065614162
RLEST,0.09090909090909115,0.04426302241011407,0.020759584462480055,0.09868336889939933,0.06377304710119065,0.048448763806979746
TECNO,0.09090909090909115,0.08963379696780596,0.12000815266543072,0.18019922748294284,0.09801480159716736,0.11733280680711301
TELCM,0.09090909090909115,0.1255508308151887,0.1898463590191561,0.10211401750797186,0.10833298349195183,0.11903463977193893
UTILS,0.09090909090909115,0.08773281732536842,0.1125768320519386,0.07503678997412054,0.09684070370542343,0.11432260652889564
