Strategy,Factor,PC,Dev Sharpe,Holdout Sharpe,Decay,Holdout AnnRet,Holdout MaxDD
Corr05EW+Momentum,Corr05EW,Momentum,0.5207715051948332,0.5464376040865264,0.025666098891693245,0.09781989468732608,-0.2677423926659943
All6EW+BlackLitterman,All6EW,BlackLitterman,0.46683797288089013,0.5190300938027796,0.05219212092188952,0.09764041424178865,-0.29380432416768754
All6EW+TO_MVO,All6EW,TO_MVO,0.5305009263314082,0.5142859330045088,-0.016214993326899463,0.09498154158188125,-0.27441024601142827
All6EW+Momentum,All6EW,Momentum,0.5337850647104377,0.503436490900262,-0.03034857381017575,0.09185551524509655,-0.2856284962649078
Top3ICwt+Momentum,Top3ICwt,Momentum,0.4046058510471063,0.500654079398145,0.09604822835103871,0.08884570712648487,-0.25010491173383076
SF+Momentum,SF,Momentum,0.5026154580806923,0.4951192713235824,-0.007496186757109891,0.0857340868606774,-0.25198251723002485
All6ICwt+Momentum,All6ICwt,Momentum,0.41059492103177886,0.49264613799602697,0.08205121696424811,0.08562541722701748,-0.2814334619650828
Corr05EW+BlackLitterman,Corr05EW,BlackLitterman,0.5275979312301495,0.4808571192305647,-0.04674081199958485,0.09075814522167752,-0.334953215233321
SF+BlackLitterman,SF,BlackLitterman,0.5556354135023843,0.46634588247897085,-0.08928953102341347,0.0866484618611654,-0.3372389219633497
All6ICwt+EqualWeight,All6ICwt,EqualWeight,0.4138408230826856,0.4636111293085743,0.04977030622588868,0.08591618032416677,-0.3176309144454825
All6ICwt+RiskParity,All6ICwt,RiskParity,0.38188834699147944,0.45722343676652843,0.07533508977504899,0.08397382639181675,-0.3171690826525452
Top3ICwt+EqualWeight,Top3ICwt,EqualWeight,0.3188068383105059,0.4551191680300219,0.136312329719516,0.08387979439010415,-0.3027306448541407
Top3ICwt+RiskParity,Top3ICwt,RiskParity,0.2968684949755316,0.45201141645183224,0.15514292147630065,0.08301155149576972,-0.3020328878851285
All6ICwt+HRP,All6ICwt,HRP,0.38859620208899276,0.4502266003658578,0.06163039827686506,0.08266385520202967,-0.3322481443370492
All6ICwt+InverseVol,All6ICwt,InverseVol,0.37801488487879964,0.4440450345800602,0.06603014970126059,0.08038569459354292,-0.3226387215546499
Top3ICwt+InverseVol,Top3ICwt,InverseVol,0.28423844472650234,0.4430844442276778,0.15884599950117545,0.08050966470258357,-0.30164769312161877
Corr05EW+TO_MVO,Corr05EW,TO_MVO,0.5631753272804995,0.4427362791497582,-0.12043904813074124,0.08337436611897933,-0.3225348355277602
SF+MaxSharpe,SF,MaxSharpe,0.463582409000427,0.4352945351191413,-0.02828787388128573,0.07982905232820456,-0.34245234612383857
