Strategy,Factor,PC,Dev_Sharpe,Dev_Early_SR,Dev_Late_SR,Stability,Stock_TO,PC_TO,Total_TO,TC_Real_Sharpe,Break_Even_TC,DoF,MaxDD,PctPos,r_Performance,r_Stability,r_TC_Robustness,r_Capacity,r_Parsimony,Composite
Corr03EW+MeanCVaR,Corr03EW,MeanCVaR,0.5934559956566475,0.5588895637816009,0.6233757194554578,0.8965533086046599,0.1771969065670755,0.013849376907125916,0.19104628347420144,0.5144798980314899,338.1468647805425,2,-0.21292226719236984,0.5932203389830508,0.975,0.9,0.9625,0.4625,0.55625,0.796875
SF+TO_MVO,SF,TO_MVO,0.5476542586327179,0.4792258004992301,0.6083070010457633,0.7878025399598806,0.097070021468343,0.012430506098345322,0.10950052756668832,0.5044232773022046,570.0643584761228,4,-0.2088268168327303,0.6101694915254238,0.8875,0.75,0.95,0.9625,0.0875,0.72375
SF+MeanCVaR,SF,MeanCVaR,0.49639743900694017,0.4124755585040937,0.591668609310628,0.6971395000736681,0.097070021468343,0.023077752567916526,0.12014777403625952,0.44620981113339064,445.08747876257183,2,-0.20044932458404463,0.559322033898305,0.6625,0.6625,0.775,0.9375,0.55625,0.7050000000000001
Corr03ICwt+EqualWeight,Corr03ICwt,EqualWeight,0.5870687377256376,0.35811936201597067,0.8839365470110118,0.40514148128271626,0.1452648685089912,0.0,0.1452648685089912,0.5304315564695462,466.44435001454895,2,-0.22595896029065754,0.576271186440678,0.9625,0.1875,0.9875,0.7875,0.55625,0.7050000000000001
Corr05EW+TO_MVO,Corr05EW,TO_MVO,0.5631753272804995,0.5734947603095742,0.544423997200185,0.9493094529866379,0.1836209882475732,0.00846395504347618,0.1920849432910494,0.48969134219042315,344.8763658715212,4,-0.21147433493545853,0.576271186440678,0.9375,1.0,0.9125,0.3875,0.0875,0.6925
Corr03ICwt+MeanCVaR,Corr03ICwt,MeanCVaR,0.536244584635461,0.4938630076574629,0.5761384172469085,0.8571950643690788,0.1452648685089912,0.025145702209269663,0.17041057071826088,0.46493064422043195,338.37712750353427,3,-0.2175772819587266,0.559322033898305,0.825,0.85,0.8375,0.625,0.2625,0.69
Corr03EW+Momentum,Corr03EW,Momentum,0.6177979984577711,0.5104066139120311,0.7542291688889273,0.6767261662180516,0.1771969065670755,0.09670087438125267,0.2738977809483282,0.5166967394534898,274.9808479578127,2,-0.21952165362543863,0.5932203389830508,0.9875,0.6125,0.975,0.0375,0.55625,0.6812500000000001
Corr03EW+EqualWeight,Corr03EW,EqualWeight,0.5447997077314178,0.30114044257938033,0.8501172911134193,0.35423399303520736,0.1771969065670755,0.0,0.1771969065670755,0.47569148050567595,354.74773166778425,1,-0.24452824618007007,0.6101694915254238,0.8625,0.1375,0.8875,0.575,0.85,0.676875
Corr03ICwt+HRP,Corr03ICwt,HRP,0.5428686593543778,0.46250717475800734,0.6421785770755744,0.7202158266696236,0.1452648685089912,0.05538932928185685,0.20065419779084806,0.46391475168094903,309.40950727848997,2,-0.22296476642691265,0.576271186440678,0.8375,0.7125,0.825,0.3,0.55625,0.6731250000000002
Corr05EW+MaxSharpe,Corr05EW,MaxSharpe,0.5533986850535613,0.568943910602481,0.5285595056792086,0.9290186533844655,0.1836209882475732,0.03294846942469218,0.21656945767226538,0.4686563705197263,293.8666587572062,3,-0.21306307992303752,0.576271186440678,0.9125,0.9625,0.85,0.2,0.2625,0.6731250000000001
Corr03ICwt+RiskParity,Corr03ICwt,RiskParity,0.5479769953334442,0.37518923236440455,0.7634566462048704,0.491434889236296,0.1452648685089912,0.007191319236362328,0.15245618774535352,0.487419826833422,407.20141645982125,3,-0.22380748816968576,0.576271186440678,0.9,0.4,0.9,0.75,0.2625,0.6500000000000001
Corr03ICwt+InverseVol,Corr03ICwt,InverseVol,0.5169462385621065,0.36612433650764914,0.7022472129237161,0.5213610389186701,0.1452648685089912,0.009542362907173065,0.15480723141616426,0.4546298782059537,373.29812913244075,2,-0.22331406574617274,0.576271186440678,0.725,0.4375,0.7875,0.7125,0.55625,0.6443750000000001
