PC,Dev Mean SR,Dev Median SR,Hold Mean SR,Hold Median SR,Decay,Avg Turnover,Consistency
EqualWeight,0.4479210703981219,0.45856700664210814,0.41275348861001926,0.4135538248797963,-0.03516758178810264,0.0,0.875
InverseVol,0.40312413821932047,0.41195524520467885,0.3929841346540901,0.39932490767662826,-0.010140003565230371,0.009252305293352695,0.875
MinVariance,0.3281793281833882,0.3547803512207561,0.3531965666596557,0.3613396490553945,0.025017238476267523,0.026363545069885787,0.625
MaxSharpe,0.4535016402170343,0.4867052630133648,0.36673387631529175,0.38132436557272154,-0.08676776390174257,0.057984398874391135,0.625
RiskParity,0.4236930619745982,0.43461783419221983,0.403055659138339,0.40375402533794313,-0.0206374028362592,0.006985990116735064,0.875
HRP,0.416958103895305,0.4284623843163177,0.39178921120822574,0.4092829189849724,-0.02516889268707928,0.052502823971143614,0.625
Momentum,0.5066788460508425,0.5116934816377627,0.4741339929954319,0.49388270465980466,-0.03254485305541055,0.10478958748067564,1.0
BlackLitterman,0.4461404115000296,0.4906727191350824,0.4085461671116012,0.39767518072911645,-0.0375942443884284,0.06570353729960055,0.875
MeanCVaR,0.42865460679953304,0.4467036939429055,0.27097287930502845,0.26250246139346467,-0.1576817274945046,0.020540775196964352,0.0
TO_MVO,0.47053270922403434,0.5248964378506312,0.38160476120458175,0.3817633718903537,-0.08892794801945259,0.020784702089366336,0.5
