Strategy,Ann. Mean,Ann. Std,Sharpe,Max DD,Calmar,% Positive,Total Return,N Months
EqualWeight,0.07023019075051938,0.16060893485679956,0.43727449418139336,0.2945662720664012,0.23841898211173368,0.5671641791044776,0.8980891752361231,134
InverseVol,0.06954716406109769,0.1544943965818023,0.4501597831366886,0.2845199047726655,0.24443690193368592,0.5522388059701493,0.9032499611679825,134
MinVariance,0.07149286404887996,0.1537837524700622,0.4648921807445023,0.2778752746944771,0.25728400674542246,0.5522388059701493,0.9472767630176975,134
MaxSharpe,0.07163411809191306,0.1588049942859661,0.4510822749246716,0.35558379434458726,0.20145495725965015,0.5373134328358209,0.9319658958456079,134
RiskParity,0.07016215267482138,0.15779704759249255,0.4446353955621123,0.2929324710168253,0.23951647433032935,0.5522388059701493,0.9057203118838397,134
HRP,0.07025790977163802,0.15559231059316164,0.4515512977716901,0.30425117392415724,0.23092075164565082,0.5447761194029851,0.9151068315694462,134
Momentum,0.0824265934893855,0.15776787551077018,0.5224548611213223,0.2346066050462119,0.3513396115729539,0.5746268656716418,1.183393266461667,134
BlackLitterman,0.06469457523413165,0.15717464016665114,0.41160950116085177,0.3504065347227607,0.18462719391154497,0.5522388059701493,0.7933258289030964,134
MeanCVaR,0.05779360168085314,0.1533770452664819,0.3768073741441608,0.3211800223981746,0.179941458529463,0.5373134328358209,0.6726678544562221,134
TO_MVO,0.07023019073999019,0.16060893486159167,0.4372744941027884,0.2945662722267229,0.23841898194622618,0.5671641791044776,0.8980891749998363,134
