,All6EW+TO_MVO,All6EW+Momentum,All6EW+EqualWeight,Corr05EW+Momentum,SF+Momentum
2014-02-01,,,,,
2014-03-01,,,,,
2014-04-01,,,,,
2014-05-01,,,,,
2014-06-01,,,,,
2014-07-01,,,,,
2014-08-01,,,,,
2014-09-01,,,,,
2014-10-01,,,,,
2014-11-01,,,,,
2014-12-01,,,,,
2015-01-01,,,,,
2015-02-01,,,,,
2015-03-01,,,,,
2015-04-01,,,,,
2015-05-01,,,,,
2015-06-01,,,,,
2015-07-01,,,,,
2015-08-01,,,,,
2015-09-01,,,,,
2015-10-01,,,,,
2015-11-01,,,,,
2015-12-01,,,,,
2016-01-01,,,,,
2016-02-01,,,,,
2016-03-01,,,,,
2016-04-01,,,,,
2016-05-01,,,,,
2016-06-01,,,,,
2016-07-01,,,,,
2016-08-01,,,,,
2016-09-01,,,,,
2016-10-01,,,,,
2016-11-01,,,,,
2016-12-01,,,,,
2017-01-01,,,,,
2017-02-01,,,,,
2017-03-01,,,,,
2017-04-01,,,,,
2017-05-01,,,,,
2017-06-01,,,,,
2017-07-01,,,,,
2017-08-01,,,,,
2017-09-01,,,,,
2017-10-01,,,,,
2017-11-01,,,,,
2017-12-01,,,,,
2018-01-01,,,,,
2018-02-01,,,,,
2018-03-01,,,,,
2018-04-01,,,,,
2018-05-01,,,,,
2018-06-01,,,,,
2018-07-01,,,,,
2018-08-01,,,,,
2018-09-01,,,,,
2018-10-01,,,,,
2018-11-01,,,,,
2018-12-01,,,,,
2019-01-01,,,,,
2019-02-01,0.8484175936893548,0.8514389011141217,0.8845916706516672,0.8649620628394932,0.8194603877124291
2019-03-01,0.8423170924249009,0.8451428038947634,0.8822810094468504,0.8566449676492527,0.813117382223725
2019-04-01,0.8455357181140739,0.8505794141602077,0.8846997086084856,0.8626031771275197,0.8171973095532138
2019-05-01,0.8450179655993031,0.846676770065955,0.8819950011513635,0.8597691418816119,0.816166569951771
2019-06-01,0.8660935891048135,0.8424235545850335,0.8847181990583163,0.8591514000680908,0.8194253475851718
2019-07-01,0.8643363434587843,0.8449772741713378,0.8860738075516731,0.8596025288355269,0.8167907937937547
2019-08-01,0.8661058667070611,0.8475333432072437,0.8862772726922876,0.8621845717358537,0.8176158400264851
2019-09-01,0.8643950354008604,0.8477339746386476,0.8843882566647587,0.8646707269805609,0.8212069480714266
2019-10-01,0.8873366701069577,0.8543282655127846,0.8887436585019247,0.8699371031382215,0.8199416257989548
2019-11-01,0.8948541834198814,0.8629555968119311,0.8971703080165754,0.8731391137281638,0.8261469662459305
2019-12-01,0.895176411958885,0.8630543645628924,0.897580156462543,0.8734455687526005,0.8252965045207641
2020-01-01,0.8990020661002776,0.8673386030778214,0.90282946292834,0.8832238594697012,0.8374936488866156
2020-02-01,0.9100740907584178,0.8750136522507528,0.9092862783907047,0.888990658253774,0.8444488666657967
2020-03-01,0.9079855645438679,0.8759976039893296,0.9130983839615872,0.8857748875701794,0.8439222568245707
2020-04-01,0.8909725361358782,0.8652726196351987,0.9081913635850988,0.8766413600884446,0.8274108922397458
2020-05-01,0.9118650069630327,0.8694056152855091,0.9178461989195872,0.8813112423470548,0.8288886315793196
2020-06-01,0.914839787618358,0.8681127394725076,0.9180506576674343,0.8824555299279053,0.830516776493363
2020-07-01,0.9237945522184741,0.8812918070302876,0.9222289560762182,0.8923678047411701,0.8519192832115733
2020-08-01,0.9309168146644338,0.8885168120746296,0.9212430826454008,0.9030510997467476,0.857820746108323
2020-09-01,0.9332282581163335,0.8886084079643002,0.9223189051635915,0.9024378698588841,0.8495846893526043
2020-10-01,0.9348426188384783,0.8859545039776738,0.9222938674608169,0.9042960145439768,0.8520506085837491
2020-11-01,0.9317037554470581,0.8749548821819332,0.9182770732525077,0.8961290906586026,0.8470802581561364
2020-12-01,0.9457758406078334,0.892630696749593,0.9423042819908631,0.9191336767552932,0.8657748551819816
2021-01-01,0.9575626110196229,0.9173551182095412,0.9594538218726826,0.9439673040516353,0.8892001125663078
2021-02-01,0.9562244052463421,0.906144196064532,0.9526598961006513,0.9279738646562361,0.8798292560340585
2021-03-01,0.9552373143419399,0.9058614677260721,0.952194589066645,0.9283165479499239,0.8788610541624491
2021-04-01,0.9854392984309666,0.9297469205788286,0.9782807497421665,0.950341871564175,0.8824282308683021
2021-05-01,0.9851003780203308,0.9345429235459657,0.9795958695122449,0.9562589172212026,0.8867468651204301
2021-06-01,0.99049922107977,0.9345904945578861,0.9831211042490089,0.9593428769042329,0.8876309686448178
2021-07-01,0.9878456487009207,0.9294202070181281,0.9800534836377179,0.9552907081582293,0.8868648055087189
2021-08-01,0.9813626062476177,0.935731865768161,0.989323108571966,0.9530822066168357,0.8793941354458149
2021-09-01,0.9782400894448837,0.934243071629618,0.9868368156721155,0.9510932474275196,0.8809027722288321
2021-10-01,0.9800154566494653,0.9359873767229162,0.9853325659137439,0.9576548400852206,0.875695890303352
2021-11-01,0.9782399924094638,0.9345817728534004,0.9838349642834383,0.9563337044945406,0.8744504841197044
2021-12-01,0.968751816014726,0.9351078508521387,0.9756437967025533,0.9567766362945055,0.8745360997119263
2022-01-01,0.9685346617763313,0.9357588995014829,0.9748522948772883,0.9574867774595845,0.8756982149704482
2022-02-01,0.9678142962167678,0.9325161065553216,0.973755427799976,0.9561504277840162,0.8810977537689464
2022-03-01,0.9547586764559771,0.9306722809356168,0.9707854391498009,0.951289867333263,0.8895086055167803
2022-04-01,0.9471420501071409,0.9212677864177266,0.9671872660171968,0.9446131783420468,0.8758161987863434
2022-05-01,0.9509344611872563,0.9258217222075033,0.9693852960948148,0.9521647330408836,0.8685970958965845
2022-06-01,0.9485927691478669,0.926991132756457,0.9701980181590213,0.9517101043697114,0.8687862953278028
2022-07-01,0.9471977398752012,0.9266820692473815,0.9591023738647739,0.9568883359166978,0.8670401286977186
2022-08-01,0.9460387761366039,0.9199589636086094,0.9602679831490464,0.9442194029437179,0.8593203559414796
2022-09-01,0.9470435215970749,0.9203169225947647,0.9603320669177998,0.9443275535611019,0.858623595139285
2022-10-01,0.9606103019320097,0.94360095675916,0.9656969731578718,0.9555875703096499,0.885123476768789
2022-11-01,0.9617187205187128,0.9505904835393315,0.9714712183382224,0.9546861218246697,0.8871086739779755
2022-12-01,0.9764711743934189,0.9399045022901704,0.9971140959367726,0.9326602277084746,0.8643403352188465
2023-01-01,0.9747913796828499,0.9429178973516154,0.9956053045480887,0.9345726476446857,0.8650383908397519
2023-02-01,0.9710198757326197,0.9406020500076806,0.9981597639800643,0.9332611378841625,0.8693652865721928
2023-03-01,0.9729502767131446,0.9459330087669509,0.9996293827033511,0.940731122139187,0.8871529694192078
2023-04-01,0.9797756266114288,0.9480386317716455,1.0012715620180834,0.9445097543793536,0.887203290066615
2023-05-01,0.9783236894804802,0.947396195770345,1.0001366325204843,0.9416893011838352,0.8871970381134832
2023-06-01,0.9836610018391753,0.953449668243267,1.0051936580390173,0.9501154402123991,0.8929636733162623
2023-07-01,0.9837502376946619,0.9587154038496929,1.0062207131177867,0.9554725789972678,0.89715487007159
2023-08-01,0.9862605550038297,0.9613017870807288,1.004712577152569,0.9588167187586044,0.906291137094478
2023-09-01,0.9968591857990011,0.9688631162155354,1.009883154249405,0.9580770558868178,0.9083050636985394
2023-10-01,0.9929766864281212,0.9670867415121078,1.0066166353225092,0.9561449997014986,0.9067586486004333
2023-11-01,0.9971226155749291,0.9810319664459067,1.0184691863009852,0.9622147486143843,0.9100156225464503
2023-12-01,0.9990848741814747,0.9795503738079413,1.0128321228090569,0.9634797216905655,0.9113058358505269
2024-01-01,0.99837160540499,0.9797113504889835,1.01367592577481,0.9633920463568674,0.9124470507663653
2024-02-01,1.0029474463563426,0.9869709244371254,1.023473127602647,0.9735715850903389,0.9310037589699324
2024-03-01,1.002352983991557,0.9858012569596193,1.0235702773713724,0.9706516014609167,0.926857495579955
2024-04-01,1.0022654868236933,0.9853061688524081,1.0234107866088187,0.9700782490655211,0.9266037291694957
2024-05-01,1.002811619518373,0.9882510849883358,1.0253866202763986,0.9726955599887992,0.9277191833437772
2024-06-01,0.9964014021766959,0.9982045931769071,1.0308433544038822,0.9788550291546236,0.9284580137981648
2024-07-01,0.9973345891848484,0.9946467178642467,1.0282204400593484,0.9736872138450416,0.9238378804794691
2024-08-01,0.9968639977906104,0.9938363038317475,1.0278155149039092,0.9719563788971997,0.9228947336679031
2024-09-01,0.99895458492676,0.9947747747176563,1.031527684869679,0.970863768370772,0.9216478286042203
2024-10-01,0.9952570979535049,0.9938245931513722,1.0328147735327924,0.9655730233730484,0.9280437275965041
2024-11-01,0.9915056606609204,0.9936494224521639,1.0332466673022431,0.9689394830812921,0.9296639025536179
2024-12-01,0.995337948867737,0.9983879124875074,1.0356562161145921,0.9735184009596979,0.9318945855858234
2025-01-01,0.9966954409182023,1.0015766784695406,1.0381651845148039,0.9714939068589188,0.9278513970331672
2025-02-01,0.9893832346745997,0.9972111145391916,1.035234992976327,0.9687828565656151,0.9234880712967247
2025-03-01,0.9892265288902726,0.9973954166676757,1.0331050259366494,0.9717633212801806,0.9247620972413183
