ym,BMATR,CODIS,COSTP,ENEGY,FINAN,HLTHC,INDUS,RLEST,TECNO,TELCM,UTILS
2004-01-01,,,,,,,,,,,
2004-02-01,,,,,,,,,,,
2004-03-01,,,,,,,,,,,
2004-04-01,,,,,,,,,,,
2004-05-01,,,,,,,,,,,
2004-06-01,,,,,,,,,,,
2004-07-01,,,,,,,,,,,
2004-08-01,,,,,,,,,,,
2004-09-01,,,,,,,,,,,
2004-10-01,,,,,,,,,,,
2004-11-01,,,,,,,,,,,
2004-12-01,,,,,,,,,,,
2005-01-01,,,,,,,,,,,
2005-02-01,,,,,,,,,,,
2005-03-01,,,,,,,,,,,
2005-04-01,,,,,,,,,,,
2005-05-01,,,,,,,,,,,
2005-06-01,,,,,,,,,,,
2005-07-01,,,,,,,,,,,
2005-08-01,,,,,,,,,,,
2005-09-01,,,,,,,,,,,
2005-10-01,,,,,,,,,,,
2005-11-01,,,,,,,,,,,
2005-12-01,1.2347375101295293,0.9118361069185793,0.6635901010354394,0.9905179373700114,0.9968438117442966,1.2948541615294098,0.9482693143337787,0.5791168488422205,0.9875897458240026,0.8068374468846876,0.8978760106193964
2006-01-01,1.2891617258248416,0.8955974934251391,0.7996957741400949,1.0681551585715363,0.9476540826995986,1.2108450689994605,0.8913004541170315,0.6914025926464592,0.863355462021673,0.7769867090081813,0.9431764975591795
2006-02-01,1.296340704656459,0.9035508588021193,0.7909468602952276,1.0686147005024529,0.9404637426554187,1.2184813444255753,0.8759641841789058,0.685183337214852,0.8717541714731403,0.7720287809602087,0.9254710173664467
2006-03-01,1.285767592210389,0.9075131190727258,0.7944059583124509,1.0762664848514885,0.9448400625268758,1.2327581287842904,0.8789443672394018,0.669787855824107,0.8735177921552123,0.7732196095495958,0.9282910950334925
2006-04-01,1.2797991678298755,0.9001731415446472,0.7898399250066507,1.0853526627895045,0.9739560773800386,1.1995907189928712,0.8930940041157951,0.632059311374251,0.9031956750125375,0.7806894943125703,0.9505330149691272
2006-05-01,1.2461220964000388,0.9404570191775875,0.799503591858148,1.1002821843819035,0.9750298182759023,1.1301555084792094,0.8562314126832931,0.5463363170776477,0.8675095040727714,0.803882073478322,1.0032523852059447
2006-06-01,1.230690706551092,0.9506725088442093,0.8055448322205556,1.1013396776708775,0.987070230327801,1.1362469577998378,0.8557227137599484,0.5730441445436022,0.8787637975182409,0.8022767358067745,0.9908707295194977
2006-07-01,1.2318139189231663,0.9537017745686522,0.8028529750404286,1.0982348218291402,0.984742286824638,1.1322245634493389,0.8566997377937172,0.5655947450148348,0.8825371513777813,0.7999606204915497,0.989895194503268
2006-08-01,1.2301088887143399,0.954478786962545,0.8025981754546617,1.0958488270302402,0.9843755078007381,1.1318729595308323,0.8579970003526475,0.5665597382096776,0.883780461257167,0.7996958885943399,0.9899905452004435
2006-09-01,1.236749822965791,0.9484118801470673,0.80376361107281,1.1034054296957652,0.9804717897047192,1.1360388443364444,0.8552154820324267,0.556756519639403,0.8784480129524296,0.7949020570218038,0.9878195688740815
2006-10-01,1.246755243779212,0.9543871772135717,0.8059573392340408,1.1013375164656591,0.9921054248979126,1.1339129024589099,0.8514747315401304,0.5716642592438783,0.871084352567748,0.7993035703634679,0.983765968300658
2006-11-01,1.2475715590015748,0.9389645554569294,0.8083618893958762,1.0953056321785382,0.988262576997451,1.122863741773043,0.8564629507880404,0.5570709223369579,0.9055831383802448,0.819774017841095,0.976347041194071
2006-12-01,1.184847607041073,0.9473211307552151,0.8421110611379394,1.1157377279005192,0.9605204129937588,1.1276878763493494,0.8779890335677132,0.5839923369306415,0.9156597851816664,0.7756806288416185,0.9825862184258184
2007-01-01,1.1910786186168534,0.9429699497444213,0.8786154816961473,1.1008547717083048,0.9714845287456939,1.180391187913716,0.9058903552267292,0.4070225678099531,0.9137942925388137,0.7928642479412921,0.9689682298845209
2007-02-01,1.1772887994005161,0.942590982753021,0.8846526313740634,1.0996746360094152,0.9721491403945971,1.1778326179069745,0.8985632925165437,0.443484754765902,0.9102123809693096,0.7971858770796902,0.9769902964763285
2007-03-01,1.1846121984129605,0.9379013722727791,0.8869075976466058,1.1026857944429125,0.9736816456410216,1.1617018407936208,0.9003125082658356,0.44235968990771246,0.9053154877744845,0.7997984997368802,0.972096081438826
2007-04-01,1.1860389577309711,0.9510015314892962,0.8928967493493226,1.1016913168886726,0.970673027285092,1.1740877715677622,0.9067191738680047,0.45120620668695466,0.9000949865388457,0.804408760954765,0.9787591815732547
2007-05-01,1.1741575202292645,0.9559529454566099,0.8955712094362244,1.1203059241663949,0.9663740419689109,1.1718093430994152,0.9248705811245332,0.46534848378496124,0.9097989800537777,0.8054205669417521,0.9919639492293775
2007-06-01,1.170296490112325,0.9424348956083708,0.8835933287764504,1.1275014458948551,0.9693485676287522,1.164770101613903,0.9328188085992619,0.4719878686233801,0.9194124787776953,0.8028601382233052,0.9994097186741571
2007-07-01,1.1837494330380778,0.9324877417331103,0.8665328152650617,1.1314187016674877,0.9790415817453629,1.1703742664329555,0.9393146270023836,0.46433126239808376,0.924799423208354,0.8011681479035125,0.9839525778937485
2007-08-01,1.1721527046222173,0.960580121388053,0.8518205069383066,1.1367649385232301,0.9986224190968931,1.158446323076859,0.9308598959389582,0.537031196820527,0.9282815814048545,0.7887283075979881,0.9900744344436058
2007-09-01,1.1924741039075446,0.9221067141881668,0.838213062385829,1.1497839304057862,0.9462432544733976,1.0781758301656683,0.9207546108497111,0.6019285433235196,0.8996700372665417,0.7714143116899063,0.9635902616418924
2007-10-01,1.1612334075178632,0.8755757504286237,0.8074833091104533,1.1545830970989304,0.9292572323995107,0.9943432432837932,0.8829003414970588,0.6117544241312189,0.9056447334358391,0.7456837431879126,0.8914526310978589
2007-11-01,1.1729987702682372,0.8639749371236534,0.813897143427111,1.147171650446749,0.9554311350927372,0.9216650934226883,0.9407079911142715,0.6405142826104262,0.9498555073815195,0.7370932837313403,0.8821494550834453
2007-12-01,1.1613718939111812,0.8532097307891505,0.8162624652478686,1.1470074109937742,0.9769071601292753,0.9953723700168391,1.0006823483314153,0.9769632742831528,0.9533053995773543,0.7551041631515722,0.8605350721481567
2008-01-01,1.1555857405201182,0.9422219687788421,0.7641711154612943,1.1556199143115617,1.074657358686783,0.9259306172057861,1.0857010217594725,0.956441945258312,1.0004229280615553,0.6747979256042489,0.9048524905358426
2008-02-01,1.1781997567108047,0.9186414972137446,0.7600772980383975,1.1420385664174129,1.0535453644565196,0.8981673964448644,1.1199579996568638,0.9670658194995939,1.0260933597851443,0.6683821713582104,0.9054701614018104
2008-03-01,1.1803172491567344,0.9213370521800548,0.7637361041583,1.15854951759788,1.0437928256817013,0.8973453827741765,1.1219457707379563,1.0220488793701,1.0066844135682564,0.6589869313932479,0.9222859531780873
2008-04-01,1.1602336516671312,0.8856289881897156,0.7645806714983518,1.1779708623202028,1.038512706609812,0.8721441115286384,1.111359537184044,1.000922200366378,1.005154819800277,0.6585012648046487,0.9314507052191309
2008-05-01,1.1588233178993053,0.8857002276745807,0.7651399609085507,1.1772280853738764,1.0398858898555705,0.8704384889345067,1.1122258403683682,1.001352623246834,1.006554596821188,0.6591614543854623,0.9297988257047126
2008-06-01,1.1184123453188242,0.9052468756890807,0.7694428613066678,1.1650070054094506,1.04031933134923,0.8104873938161733,1.1311579432178303,1.073992691180948,1.0161216191418314,0.686476963449053,0.8979713781808591
2008-07-01,1.1238559989425876,0.8657123657202028,0.7675501469151695,1.1452325848682665,1.0020976015831684,0.778601857504722,1.1137764125885832,1.015798269269298,1.0168954662285608,0.6754260802771094,0.8763947423840518
2008-08-01,1.160517312802808,0.8860005555776996,0.7621245131283844,1.1438645371544922,0.9942094288911637,0.8180656587247563,1.1504764942996124,1.0033304629586848,0.9679268520805439,0.6682888328436932,0.8677274548857358
2008-09-01,1.1516836020017427,0.8895698062052158,0.7596988552980638,1.1185876860443325,0.9805211783979721,0.7675465144697851,1.1176535125022882,0.99932923648999,0.9614183390302912,0.6678121985527716,0.8627744608039486
2008-10-01,1.1931735356006703,0.8842185970114064,0.7413817192215708,1.1296342665226495,1.0163600515294802,0.793298267945075,1.1415501643683799,0.956315917478453,0.8998779775478508,0.6536652504708304,0.7887662359405011
2008-11-01,1.1604169165936755,0.8923366539834752,0.729716909176102,1.1318080983555325,1.0143986942492185,0.7874184847401167,1.1312852673758869,0.9464609138321709,0.9195250520032706,0.6480976021399627,0.7742643912016823
2008-12-01,1.2180226399731615,0.9951899861679024,0.735991885451467,1.0964311773243554,1.0117766939387058,0.8004672787507214,1.1450984338127745,1.3252163074362753,0.9252840292050436,0.6447545307800273,0.7673467163872342
2009-01-01,1.2015475037419765,0.9600171921947062,0.7791694228817988,1.100141315676361,1.0135903658446332,0.8820881870496797,1.0924531778193052,1.2262172036583388,0.8661021670862534,0.657278888172265,0.7684717566184495
2009-02-01,1.201056684014355,0.9728954647675985,0.7857881650473485,1.1021522340947492,1.0204615310766592,0.8759751627980882,1.106051168626914,1.2378086132218586,0.8499811721817139,0.663410259334504,0.7586794836962729
2009-03-01,1.1912488912448973,1.0114459653891632,0.7582569966120616,1.106282124178965,1.0357060598414014,0.8925304106649804,1.1375028864121917,1.2943420224743936,0.8847210459919331,0.6816911324685215,0.7222626794598714
2009-04-01,1.1502826755841216,1.0437158319560003,0.7502919066260147,1.0967192061541378,1.0504099179543034,0.8554568773433898,1.1184257972946634,1.3206668316723384,0.8890610647969043,0.662597566254671,0.7044728818744396
2009-05-01,1.1673179801809042,0.9925947955995095,0.7563873818557221,1.0981192091565597,1.0473800873738512,0.82473839433784,1.1127483843145056,1.3722204698859914,0.861542311442466,0.62682136008675,0.6867906037564458
2009-06-01,1.1699794798863907,0.9904782592998702,0.7508316156236355,1.0981487404634025,1.0457312816601374,0.7915816314855904,1.1166469806995436,1.3690110066710561,0.863063718868466,0.626154352563205,0.6856542602743305
2009-07-01,1.1704676328572545,1.008882579879107,0.7586260507165027,1.0983348787246257,1.0470801814320727,0.7893073080212277,1.1140738722030485,1.3412107375992348,0.8857501461095101,0.6258523845391628,0.692594417262727
