factor,industry,avg_ic,std_ic,ir,t_stat,pct_positive,n_months
Size,BMATR,0.031399917868558745,0.1644029228031624,0.1909936717253712,3.049924355288244,0.5803921568627451,255
Size,CODIS,0.03439588637055957,0.14128275492569872,0.24345424456543568,3.8876525237238444,0.6078431372549019,255
Size,COSTP,0.013905620419546736,0.1568344772700012,0.08866430813938486,1.415855459483109,0.5254901960784314,255
Size,ENEGY,0.010201015294620473,0.2076520512463868,0.04912552143545451,0.7844716682951982,0.5215686274509804,255
Size,FINAN,0.020850016437674656,0.1026977161041025,0.20302317547684737,3.242020125489539,0.592156862745098,255
Size,HLTHC,0.05632400669565626,0.22331609793715507,0.2522165093154493,3.0579626604941903,0.5782312925170068,147
Size,INDUS,0.03457680962078033,0.15102696003599606,0.22894461765329333,3.6559523626362025,0.596078431372549,255
Size,RLEST,0.03385791046785316,0.2500234694980649,0.13541892901424282,2.0040171425027364,0.5342465753424658,219
Size,TECNO,0.05930409217556429,0.17462391091898063,0.33961037674319017,5.423142819239702,0.6313725490196078,255
Size,TELCM,0.031168558682044874,0.18139803128135434,0.1718241287508871,2.743811302067867,0.5686274509803921,255
Size,UTILS,0.02705493347005059,0.2161527199306457,0.12516582478689778,1.998737937329209,0.5254901960784314,255
Value (P/B),BMATR,0.026971956715412637,0.1810244302256477,0.14899622488407768,2.3792789102110743,0.5686274509803921,255
Value (P/B),CODIS,0.0290679104126852,0.19046521768894648,0.15261532139771963,2.43707124700099,0.5843137254901961,255
Value (P/B),COSTP,0.014186389542307425,0.16114919876587178,0.08803264087535645,1.405768542175353,0.5137254901960784,255
Value (P/B),ENEGY,0.016242219205834674,0.20701594417210653,0.07845878379460186,1.2528863046600278,0.5215686274509804,255
Value (P/B),FINAN,0.023330861214020913,0.1283909207282806,0.18171737597705254,2.9017937912016243,0.5686274509803921,255
Value (P/B),HLTHC,0.019908165191792726,0.2232159324082054,0.08918792210309494,1.0813460875283898,0.5782312925170068,147
Value (P/B),INDUS,0.030326607304411914,0.16963139273845357,0.17877945122558206,2.854878895160471,0.5490196078431373,255
Value (P/B),RLEST,0.041865253783287586,0.2408086614956299,0.1738527739129821,2.5727861070044717,0.5662100456621004,219
Value (P/B),TECNO,0.049756191939861034,0.20675461195402436,0.24065335940813368,3.842925974511764,0.5803921568627451,255
