PC,Gross_Sharpe,TC_Adj_Sharpe,H1_Sharpe,H2_Sharpe,Stability,Stock_TO,PC_TO,Total_TO,BreakEven_TC,MaxDD,DoF,Ann_Ret,Ann_Vol
EqualWeight,0.45912392390044404,0.3864480138849415,0.21910417479938107,0.7825871503076259,0.2799741533109172,0.1841922508619055,0.0,0.1841922508619055,284.283699662142,-0.24747085534296143,0,0.06283542542894383,0.13685940147734274
Momentum,0.5337850647104381,0.42165381317027756,0.34932388329398784,0.802368284105643,0.43536601609740905,0.1841922508619055,0.0959093220830503,0.2801015729449558,214.21617597273166,-0.22257318671404636,1,0.0720027454082587,0.13489089554672715
InverseVol,0.4184966734311198,0.3407557541082905,0.22891646625071624,0.656061918539469,0.3489250934733906,0.1841922508619055,0.0098501556012317,0.1940424064631372,242.24501676133553,-0.24546782112427157,0,0.056406967207287065,0.13478474451140665
RiskParity,0.4272841745647516,0.3504839905759052,0.2421457172983335,0.6653405239121645,0.36394253558242695,0.1841922508619055,0.0076326003148189,0.1918248511767244,250.36122124663447,-0.24249247481670977,1,0.05763060480727035,0.1348765253615469
HRP,0.4216683822450331,0.3227926500151902,0.3039048032316781,0.5695891168363173,0.5335509303963951,0.1841922508619055,0.0642856482999959,0.24847789916190138,191.90833557538375,-0.23989262736728556,0,0.05722197606651423,0.13570373894730936
MinVariance,0.32703107123886077,0.2434941758616732,0.3095295269998453,0.3452521114570854,0.8965318870709343,0.1841922508619055,0.0244195423611444,0.2086117932230499,176.16644884037083,-0.2269298992678258,1,0.04410047855799173,0.13485103538000248
MaxSharpe,0.5098281170263028,0.41006166723203713,0.45969166377499426,0.5573806258300458,0.8247356339134069,0.1841922508619055,0.0580398916145352,0.2422321424764407,229.95972407050928,-0.21575801777360504,2,0.06684436397386871,0.13111156827472523
BlackLitterman,0.4668379728808902,0.3749985588728734,0.4929413843285547,0.4321312072055772,0.8766381175201828,0.1841922508619055,0.0447740777158153,0.22896632857772078,228.74393316366647,-0.21217159057616886,2,0.06284959027309471,0.13462827345694575
MeanCVaR,0.4209065671419577,0.3370704552753483,0.3379117403033791,0.5253226193528063,0.6432461269603885,0.1841922508619055,0.0302340655752451,0.2144263164371506,225.92645459899828,-0.23545434920451103,1,0.058133492934442005,0.13811495821787814
TO_MVO,0.5305009263314086,0.4549049778109545,0.4833402951490579,0.5697001415340005,0.848411751921974,0.1841922508619055,0.0074294679507701,0.1916217188126756,315.7912844820542,-0.21342439748275788,3,0.0726149624622166,0.13687999183031285
