Factor,PC,Gross_Sharpe,TC_Adj_Sharpe,Stability,Total_TO,BreakEven_TC,DoF,r_Performance,r_Stability,r_Parsimony,r_TC_Robustness,r_LowTurnover,Composite
SF,MeanCVaR,0.49639743900694083,0.4462098111333912,0.6971395000736696,0.1201477740362595,445.08747876257195,1,0.775,0.6625,0.80625,0.95,0.9375,0.7956249999999999
Corr03-EW,MeanCVaR,0.5934559956566476,0.51447989803149,0.8965533086046601,0.1910462834742014,338.1468647805423,2,0.9625,0.9,0.51875,0.775,0.4625,0.78
SF,TO_MVO,0.5476542586327178,0.5044232773022048,0.7878025399598816,0.1095005275666883,570.0643584761222,3,0.95,0.75,0.24375,1.0,0.9625,0.7675000000000001
SF,MinVariance,0.38252963120265143,0.3345749127524073,0.9473177306012216,0.1197259118781237,358.96015992627997,1,0.4,0.9875,0.80625,0.85,0.95,0.7506249999999999
Corr05-EW,TO_MVO,0.5631753272804999,0.48969134219042365,0.9493094529866346,0.1920849432910493,344.87636587152133,4,0.9125,1.0,0.08125,0.8125,0.3875,0.7006249999999998
SF,MaxSharpe,0.46358240900042624,0.4093099478831658,0.8134949158571266,0.139268174004409,384.37925930697503,2,0.625,0.7625,0.51875,0.8875,0.8375,0.69875
Corr03-ICwt,MeanCVaR,0.5362445846354609,0.4649306442204318,0.8571950643690801,0.1704105707182608,338.377127503534,3,0.8375,0.85,0.24375,0.7875,0.625,0.693125
Corr03-ICwt,EqualWeight,0.5870687377256371,0.5304315564695459,0.4051414812827172,0.1452648685089912,466.44435001454826,2,0.9875,0.1875,0.51875,0.9625,0.7875,0.67
SF,EqualWeight,0.45801008938377236,0.41970264607070906,0.30944053742495153,0.097070021468343,538.0273972823811,0,0.7,0.0625,0.96875,0.9875,1.0,0.6675
Corr03-ICwt,HRP,0.5428686593543779,0.46391475168094903,0.7202158266696245,0.200654197790848,309.40950727848974,2,0.825,0.7125,0.51875,0.6875,0.3,0.6625
Corr05-EW,MaxSharpe,0.5533986850535604,0.4686563705197254,0.9290186533844648,0.2165694576722653,293.8666587572057,3,0.85,0.9625,0.24375,0.6125,0.2,0.65625
SF,BlackLitterman,0.555635413502384,0.4939537871966941,0.4290486489161845,0.1527146148406153,405.3653430551768,2,0.9375,0.2375,0.51875,0.9125,0.7375,0.655
