lambda,gamma,bounds,bounds_tuple,Fold1,Fold2,Fold3,Fold4,Mean_Val_SR,Std_Val_SR,TSCV_Score
2.0,0.01,5%-15%,"(0.05, 0.15)",0.20009632819610182,4.815043844127037,-1.0343606480862526,1.285817832306109,1.3166493391357488,2.180232400492125,0.2265331388896863
1.5,0.01,5%-15%,"(0.05, 0.15)",0.1975082903478415,4.922586586833093,-1.0664887469581157,1.2143007944406243,1.316976731165861,2.232995860646822,0.20047880084244984
5.0,0.01,5%-15%,"(0.05, 0.15)",0.11832664317133801,5.235147900510137,-1.061487113547222,1.2434330911495708,1.383855130320956,2.3681973836776127,0.19975643848214975
5.0,0.0005,5%-15%,"(0.05, 0.15)",0.12802857272880228,5.212052912298486,-1.0305174590511597,1.1859041452539076,1.3738670428075093,2.3505413815716567,0.1985963520216809
5.0,0.001,5%-15%,"(0.05, 0.15)",0.12809689284964748,5.202891527398064,-1.1057520822789628,1.2276985884721412,1.3632337316102225,2.365522971957222,0.18047224563161146
2.5,0.01,5%-15%,"(0.05, 0.15)",0.18982651475766302,5.0474602116423775,-1.1470924183680082,1.225416073348024,1.328902595345014,2.305776758017575,0.17601421633622638
5.0,0.01,2%-20%,"(0.02, 0.2)",0.1496373665543187,5.294756055164444,-1.1691721284854966,1.2263135548021078,1.3753837120088435,2.4166567818399267,0.1670553210888801
3.0,0.01,5%-15%,"(0.05, 0.15)",0.15694665354055426,5.088992685798026,-1.1520310722255203,1.2099431971285675,1.3259628660604068,2.3281380355946277,0.16189384826309294
3.0,0.0005,5%-15%,"(0.05, 0.15)",0.03394760081077689,5.121545503670315,-1.046857597072672,1.1902021674020113,1.3247094187026076,2.3304748785175757,0.15947197944381974
2.5,0.005,5%-15%,"(0.05, 0.15)",0.139931382475578,5.07123167015223,-1.1742867644234452,1.242770026437491,1.3199115786604634,2.328719169733665,0.15555199379363094
3.0,0.001,5%-15%,"(0.05, 0.15)",0.08576457111892397,5.1302849303745575,-1.1161459958470532,1.1817522522952437,1.320413939485418,2.344969478052336,0.14792920045925007
2.0,0.0005,5%-15%,"(0.05, 0.15)",0.036929917087015145,5.186738035424352,-1.0680759048575164,1.1605186541763657,1.3290276754575543,2.3625170212928523,0.14776916481112812
2.5,0.0005,5%-15%,"(0.05, 0.15)",0.028804809743259475,5.115988565711037,-1.0581772425782119,1.1620923333114463,1.3121771165468827,2.332227006995938,0.1460636130489137
2.0,0.01,2%-20%,"(0.02, 0.2)",0.2471568821527204,5.524204085577101,-1.3262904936562512,1.2161368890354922,1.4153018407772655,2.5398639485171244,0.14536986651870332
2.0,0.005,5%-15%,"(0.05, 0.15)",0.09005897606897405,5.08283200992782,-1.1570274033313286,1.2327952165110179,1.312164699794121,2.3353095897913825,0.14450990489842974
5.0,0.001,2%-20%,"(0.02, 0.2)",0.04790653096277533,5.655210010941678,-1.1878221916597482,1.2222256751297478,1.4343800063436132,2.581601656584357,0.1435791780514346
1.5,0.001,5%-15%,"(0.05, 0.15)",0.0786948298551158,5.092339704574209,-1.1212863033878293,1.182521294339446,1.3080673813452353,2.3318230546185705,0.14215585403595
2.0,0.001,5%-15%,"(0.05, 0.15)",0.060386041044591623,5.115547151447404,-1.1115065254849654,1.1830621420215892,1.3118722022571552,2.3411277848771364,0.141308309818587
2.5,0.001,5%-15%,"(0.05, 0.15)",0.06049701552942624,5.115726033148555,-1.1120950692055929,1.183093644396023,1.311805405967103,2.341337494733801,0.14113665860020252
1.5,0.0005,5%-15%,"(0.05, 0.15)",0.008448409409766221,5.194552310459769,-1.0705765391564386,1.1710708135144354,1.325873748556883,2.370085508464457,0.1408309943246544
3.0,0.005,5%-15%,"(0.05, 0.15)",0.16081045176621572,5.0802293695818195,-1.1694910467669823,1.1508984402968372,1.3056118037194726,2.3296125348037124,0.1408055363176164
3.0,0.01,2%-20%,"(0.02, 0.2)",0.258684413424309,5.364011068013339,-1.32770202062011,1.2166909706971758,1.3779211078786782,2.474267347069765,0.1407874343437956
5.0,0.0005,2%-20%,"(0.02, 0.2)",0.047729470996097687,5.683773593180519,-1.1613544998400442,1.1614897154871584,1.4329095699559327,2.588070886381096,0.13887412676538458
1.5,0.005,5%-15%,"(0.05, 0.15)",0.090880940844448,5.052550379399667,-1.188265549318383,1.2517438520134887,1.3017274057348052,2.3311684523628227,0.13614317955339383
1.5,0.01,2%-20%,"(0.02, 0.2)",0.11576124951943326,5.349289698158462,-1.2708308912047623,1.2770564974650247,1.3678191384845395,2.46933536660445,0.13315145518231453
5.0,0.005,5%-15%,"(0.05, 0.15)",0.15005169806418941,4.955320197147792,-1.1836128576833935,1.1431143876595475,1.2662183562970337,2.2843012041544695,0.12406775421979899
5.0,0.0,5%-15%,"(0.05, 0.15)",0.11236021691380213,5.327184505888836,-1.215423433033043,1.1331864927962094,1.3393269456414512,2.4483514176820877,0.11515123680040729
3.0,0.0005,2%-20%,"(0.02, 0.2)",-0.1009166058804764,5.608867125700877,-1.1307003657006447,1.155311393373135,1.3831403868732228,2.5705297609911355,0.09787550637765507
2.5,0.01,2%-20%,"(0.02, 0.2)",0.10031806079142204,5.42067331570258,-1.3192179034058746,1.2069351254666094,1.3521771496386843,2.513824725722871,0.0952647867772487
2.5,0.0005,2%-20%,"(0.02, 0.2)",-0.09022367039897503,5.570478575958609,-1.1291692357235428,1.1250101888149326,1.3690239646627558,2.553533654588886,0.09225713736831276
3.0,0.0,5%-15%,"(0.05, 0.15)",0.04376667746926713,5.201017428504574,-1.2165137384451776,1.150428476690207,1.2946747110547177,2.4057825514628384,0.09178343532329847
1.5,0.0,5%-15%,"(0.05, 0.15)",0.002364600363002113,5.257287985721265,-1.181813751016171,1.1295002349593424,1.3018347675068598,2.4255124217085346,0.08907855665259246
1.5,0.001,2%-20%,"(0.02, 0.2)",-0.0217019471249103,5.508925615180316,-1.2138655785388324,1.1464056784522716,1.3549409419922114,2.5393398849553845,0.08527099951451911
