,beta_36m
2017-02-01,0.8807702089477315
2017-03-01,0.8581221208812645
2017-04-01,0.8718582769913831
2017-05-01,0.8708341779522891
2017-06-01,0.8792625879265655
2017-07-01,0.870860192423681
2017-08-01,0.9033806838294567
2017-09-01,0.903614593554995
2017-10-01,0.9134806294581885
2017-11-01,0.9108075519470012
2017-12-01,0.9108374082528387
2018-01-01,0.9202580211102594
2018-02-01,0.8891357014003792
2018-03-01,0.8952381345804266
2018-04-01,0.8935193545536845
2018-05-01,0.8789377929425026
2018-06-01,0.8624785564531168
2018-07-01,0.8582573034701743
2018-08-01,0.8587230864097393
2018-09-01,0.8494375607650246
2018-10-01,0.8522866850918944
2018-11-01,0.8563000300910459
2018-12-01,0.8514959525376267
2019-01-01,0.8661347376706103
2019-02-01,0.832245904859718
2019-03-01,0.8313396722098944
2019-04-01,0.8620188172871609
2019-05-01,0.8576831509656306
2019-06-01,0.8475834860810314
2019-07-01,0.8456917863454629
2019-08-01,0.8545880939263135
2019-09-01,0.8560103525068512
2019-10-01,0.8586376424128146
2019-11-01,0.8698282993077245
2019-12-01,0.8852044538236055
2020-01-01,0.889206809233567
2020-02-01,0.8780594750655141
2020-03-01,0.8715652063311503
2020-04-01,0.8334520846077319
2020-05-01,0.8685609991039744
2020-06-01,0.8660662203081647
2020-07-01,0.8742334357315815
2020-08-01,0.852994285111518
2020-09-01,0.8509750623917688
2020-10-01,0.8523672189093084
2020-11-01,0.8510993156010376
2020-12-01,0.8742816594141255
2021-01-01,0.900715438045746
2021-02-01,0.9167909019511206
2021-03-01,0.9124621374756527
2021-04-01,0.9173447727789915
2021-05-01,0.923503153285466
2021-06-01,0.9319261859674769
2021-07-01,0.9356754480642056
2021-08-01,0.936342700683556
2021-09-01,0.932318377107576
2021-10-01,0.9269524019296461
2021-11-01,0.922090184058094
2021-12-01,0.9172907757805072
2022-01-01,0.915343658508905
2022-02-01,0.9449675003808045
2022-03-01,0.9330995112492353
2022-04-01,0.9218391072349319
2022-05-01,0.9307078705474743
2022-06-01,0.9361512106690968
2022-07-01,0.9499682122327104
2022-08-01,0.9479489891177062
2022-09-01,0.9444694404059713
2022-10-01,0.9477632164356183
2022-11-01,0.9519553454691504
2022-12-01,0.9257489531068159
2023-01-01,0.9322056841186964
2023-02-01,0.8969547895947196
2023-03-01,0.9052268851032645
2023-04-01,0.9419834331333039
2023-05-01,0.9191984360669168
2023-06-01,0.9216963652446098
2023-07-01,0.9219757082156849
2023-08-01,0.9167931641626473
2023-09-01,0.9123171500647091
2023-10-01,0.9069619378016296
2023-11-01,0.9202446988316342
2023-12-01,0.9056257568435
2024-01-01,0.8792615760373816
2024-02-01,0.884764182682868
2024-03-01,0.8832044773874378
2024-04-01,0.8835604262423312
2024-05-01,0.8710344503622853
2024-06-01,0.8722910354038426
2024-07-01,0.866956433591388
2024-08-01,0.8607424109196943
2024-09-01,0.8658166217085732
2024-10-01,0.8557899820741889
2024-11-01,0.8698931980698246
2024-12-01,0.8849113783269689
2025-01-01,0.8807672313106778
2025-02-01,0.8772010006966948
2025-03-01,0.8872251178814128
