,beta_36m
2022-02-01,0.9449675003808051
2022-03-01,0.9330995112492357
2022-04-01,0.9218391072349323
2022-05-01,0.9307078705474746
2022-06-01,0.9361512106690976
2022-07-01,0.9499682122327108
2022-08-01,0.9479489891177068
2022-09-01,0.9444694404059719
2022-10-01,0.9477632164356188
2022-11-01,0.9519553454691511
2022-12-01,0.9257489531068159
2023-01-01,0.9322056841186969
2023-02-01,0.8969547895947203
2023-03-01,0.9052268851032649
2023-04-01,0.9419834331333042
2023-05-01,0.9191984360669172
2023-06-01,0.9216963652446102
2023-07-01,0.9219757082156856
2023-08-01,0.9167931641626479
2023-09-01,0.91231715006471
2023-10-01,0.9069619378016299
2023-11-01,0.9202446988316351
2023-12-01,0.9056257568435006
2024-01-01,0.8792615760373822
2024-02-01,0.8847641826828687
2024-03-01,0.8832044773874385
2024-04-01,0.8835604262423318
2024-05-01,0.8710344503622854
2024-06-01,0.8722910354038428
2024-07-01,0.8669564335913883
2024-08-01,0.8607424109196946
2024-09-01,0.8658166217085733
2024-10-01,0.8557899820741889
2024-11-01,0.8698931980698252
2024-12-01,0.8849113783269692
2025-01-01,0.8807672313106781
2025-02-01,0.8772010006966949
2025-03-01,0.8872251178814138
