ym,threshold,cap_conservative_m,cap_aggregate_m,n_stocks,binding_ric,binding_adv_m,binding_weight,binding_country,binding_industry
2014-02-01,0.05,157.2640269509822,2951.246371702959,87,BIC.CN,0.5156676269326309,0.003442942539224358,COLOMBIA,FINAN
2014-02-01,0.1,314.5280539019644,5902.492743405918,87,BIC.CN,0.5156676269326309,0.003442942539224358,COLOMBIA,FINAN
2014-02-01,0.15,471.7920808529465,8853.739115108881,87,BIC.CN,0.5156676269326309,0.003442942539224358,COLOMBIA,FINAN
2014-02-01,0.2,629.0561078039289,11804.985486811836,87,BIC.CN,0.5156676269326309,0.003442942539224358,COLOMBIA,FINAN
2014-02-01,0.25,786.3201347549109,14756.2318585148,87,BIC.CN,0.5156676269326309,0.003442942539224358,COLOMBIA,FINAN
2014-03-01,0.05,151.8241233496481,3160.1765824455047,87,1066.HK,8.146329093683672,0.05633917298286632,CHINA,HLTHC
2014-03-01,0.1,303.6482466992962,6320.353164891009,87,1066.HK,8.146329093683672,0.05633917298286632,CHINA,HLTHC
2014-03-01,0.15,455.47237004894413,9480.529747336514,87,1066.HK,8.146329093683672,0.05633917298286632,CHINA,HLTHC
2014-03-01,0.2,607.2964933985924,12640.706329782019,87,1066.HK,8.146329093683672,0.05633917298286632,CHINA,HLTHC
2014-03-01,0.25,759.1206167482402,15800.88291222752,87,1066.HK,8.146329093683672,0.05633917298286632,CHINA,HLTHC
2014-04-01,0.05,146.7850477216294,3103.7938297376413,87,1066.HK,6.663577332067048,0.04766668204475025,CHINA,HLTHC
2014-04-01,0.1,293.5700954432588,6207.587659475283,87,1066.HK,6.663577332067048,0.04766668204475025,CHINA,HLTHC
2014-04-01,0.15,440.3551431648882,9311.38148921292,87,1066.HK,6.663577332067048,0.04766668204475025,CHINA,HLTHC
2014-04-01,0.2,587.1401908865176,12415.175318950565,87,1066.HK,6.663577332067048,0.04766668204475025,CHINA,HLTHC
2014-04-01,0.25,733.925238608147,15518.96914868821,87,1066.HK,6.663577332067048,0.04766668204475025,CHINA,HLTHC
2014-05-01,0.05,246.00032696088823,4647.622747151391,87,1066.HK,9.018990287597713,0.03849563908702947,CHINA,HLTHC
2014-05-01,0.1,492.00065392177646,9295.245494302782,87,1066.HK,9.018990287597713,0.03849563908702947,CHINA,HLTHC
2014-05-01,0.15,738.0009808826646,13942.868241454174,87,1066.HK,9.018990287597713,0.03849563908702947,CHINA,HLTHC
2014-05-01,0.2,984.0013078435529,18590.490988605565,87,1066.HK,9.018990287597713,0.03849563908702947,CHINA,HLTHC
2014-05-01,0.25,1230.001634804441,23238.11373575696,87,1066.HK,9.018990287597713,0.03849563908702947,CHINA,HLTHC
2014-06-01,0.05,106.72355779889993,2775.506847195747,87,1066.HK,3.8834928744162185,0.0382077547097953,CHINA,HLTHC
2014-06-01,0.1,213.44711559779986,5551.013694391494,87,1066.HK,3.8834928744162185,0.0382077547097953,CHINA,HLTHC
2014-06-01,0.15,320.1706733966997,8326.520541587239,87,1066.HK,3.8834928744162185,0.0382077547097953,CHINA,HLTHC
2014-06-01,0.2,426.89423119559973,11102.027388782988,87,1066.HK,3.8834928744162185,0.0382077547097953,CHINA,HLTHC
2014-06-01,0.25,533.6177889944996,13877.534235978734,87,1066.HK,3.8834928744162185,0.0382077547097953,CHINA,HLTHC
2014-07-01,0.05,193.01996468379014,3200.2982261977877,87,1066.HK,6.277125274822856,0.0341466311495886,CHINA,HLTHC
2014-07-01,0.1,386.03992936758027,6400.596452395575,87,1066.HK,6.277125274822856,0.0341466311495886,CHINA,HLTHC
2014-07-01,0.15,579.0598940513702,9600.894678593362,87,1066.HK,6.277125274822856,0.0341466311495886,CHINA,HLTHC
2014-07-01,0.2,772.0798587351605,12801.19290479115,87,1066.HK,6.277125274822856,0.0341466311495886,CHINA,HLTHC
2014-07-01,0.25,965.0998234189505,16001.49113098894,87,1066.HK,6.277125274822856,0.0341466311495886,CHINA,HLTHC
2014-08-01,0.05,214.79414916415655,2917.707974370188,87,SQMB.SN,2.4066172716831358,0.011764511021834543,CHILE,BMATR
2014-08-01,0.1,429.5882983283131,5835.415948740376,87,SQMB.SN,2.4066172716831358,0.011764511021834543,CHILE,BMATR
2014-08-01,0.15,644.3824474924696,8753.123923110561,87,SQMB.SN,2.4066172716831358,0.011764511021834543,CHILE,BMATR
2014-08-01,0.2,859.1765966566262,11670.831897480752,87,SQMB.SN,2.4066172716831358,0.011764511021834543,CHILE,BMATR
2014-08-01,0.25,1073.9707458207827,14588.539871850937,87,SQMB.SN,2.4066172716831358,0.011764511021834543,CHILE,BMATR
2014-09-01,0.05,176.93985737120312,3152.7604473357674,87,1066.HK,4.517012088782474,0.0268049424459042,CHINA,HLTHC
2014-09-01,0.1,353.87971474240624,6305.520894671535,87,1066.HK,4.517012088782474,0.0268049424459042,CHINA,HLTHC
2014-09-01,0.15,530.8195721136094,9458.2813420073,87,1066.HK,4.517012088782474,0.0268049424459042,CHINA,HLTHC
2014-09-01,0.2,707.7594294848125,12611.04178934307,87,1066.HK,4.517012088782474,0.0268049424459042,CHINA,HLTHC
2014-09-01,0.25,884.6992868560155,15763.802236678834,87,1066.HK,4.517012088782474,0.0268049424459042,CHINA,HLTHC
2014-10-01,0.05,167.96696317140456,3131.6937854409493,87,1066.HK,5.516672901539204,0.03448598722776877,CHINA,HLTHC
2014-10-01,0.1,335.9339263428091,6263.387570881899,87,1066.HK,5.516672901539204,0.03448598722776877,CHINA,HLTHC
2014-10-01,0.15,503.90088951421353,9395.081356322853,87,1066.HK,5.516672901539204,0.03448598722776877,CHINA,HLTHC
2014-10-01,0.2,671.8678526856182,12526.775141763797,87,1066.HK,5.516672901539204,0.03448598722776877,CHINA,HLTHC
2014-10-01,0.25,839.8348158570226,15658.46892720475,87,1066.HK,5.516672901539204,0.03448598722776877,CHINA,HLTHC
2014-11-01,0.05,144.76453310861814,3264.552923126038,87,1066.HK,5.066391097887095,0.03674733402269203,CHINA,HLTHC
2014-11-01,0.1,289.5290662172363,6529.105846252076,87,1066.HK,5.066391097887095,0.03674733402269203,CHINA,HLTHC
2014-11-01,0.15,434.2935993258544,9793.658769378111,87,1066.HK,5.066391097887095,0.03674733402269203,CHINA,HLTHC
2014-11-01,0.2,579.0581324344726,13058.211692504152,87,1066.HK,5.066391097887095,0.03674733402269203,CHINA,HLTHC
2014-11-01,0.25,723.8226655430907,16322.764615630183,87,1066.HK,5.066391097887095,0.03674733402269203,CHINA,HLTHC
2014-12-01,0.05,183.12968546727782,3142.2914280740665,87,BATO.KL,2.5121361906539676,0.014403688803681074,MALAYSIA,COSTP
2014-12-01,0.1,366.25937093455565,6284.582856148133,87,BATO.KL,2.5121361906539676,0.014403688803681074,MALAYSIA,COSTP
2014-12-01,0.15,549.3890564018334,9426.874284222196,87,BATO.KL,2.5121361906539676,0.014403688803681074,MALAYSIA,COSTP
2014-12-01,0.2,732.5187418691113,12569.165712296266,87,BATO.KL,2.5121361906539676,0.014403688803681074,MALAYSIA,COSTP
2014-12-01,0.25,915.648427336389,15711.45714037033,87,BATO.KL,2.5121361906539676,0.014403688803681074,MALAYSIA,COSTP
2015-01-01,0.05,170.37348029567153,4062.0914565696703,87,BATO.KL,2.406917733420276,0.0148336678672373,MALAYSIA,COSTP
2015-01-01,0.1,340.74696059134305,8124.182913139341,87,BATO.KL,2.406917733420276,0.0148336678672373,MALAYSIA,COSTP
2015-01-01,0.15,511.1204408870145,12186.274369709014,87,BATO.KL,2.406917733420276,0.0148336678672373,MALAYSIA,COSTP
2015-01-01,0.2,681.4939211826861,16248.365826278681,87,BATO.KL,2.406917733420276,0.0148336678672373,MALAYSIA,COSTP
2015-01-01,0.25,851.8674014783576,20310.457282848354,87,BATO.KL,2.406917733420276,0.0148336678672373,MALAYSIA,COSTP
2015-02-01,0.05,211.3052604918687,3380.7450232132164,91,BATO.KL,2.727900331612903,0.013555248655552377,MALAYSIA,COSTP
2015-02-01,0.1,422.6105209837374,6761.490046426433,91,BATO.KL,2.727900331612903,0.013555248655552377,MALAYSIA,COSTP
2015-02-01,0.15,633.9157814756061,10142.235069639648,91,BATO.KL,2.727900331612903,0.013555248655552377,MALAYSIA,COSTP
2015-02-01,0.2,845.2210419674748,13522.980092852866,91,BATO.KL,2.727900331612903,0.013555248655552377,MALAYSIA,COSTP
2015-02-01,0.25,1056.5263024593437,16903.72511606608,91,BATO.KL,2.727900331612903,0.013555248655552377,MALAYSIA,COSTP
2015-03-01,0.05,264.97588985103846,3992.7164890473623,91,BATO.KL,3.6292526524081627,0.014381366120407565,MALAYSIA,COSTP
2015-03-01,0.1,529.9517797020769,7985.432978094725,91,BATO.KL,3.6292526524081627,0.014381366120407565,MALAYSIA,COSTP
2015-03-01,0.15,794.9276695531153,11978.149467142084,91,BATO.KL,3.6292526524081627,0.014381366120407565,MALAYSIA,COSTP
2015-03-01,0.2,1059.9035594041538,15970.86595618945,91,BATO.KL,3.6292526524081627,0.014381366120407565,MALAYSIA,COSTP
2015-03-01,0.25,1324.8794492551922,19963.582445236803,91,BATO.KL,3.6292526524081627,0.014381366120407565,MALAYSIA,COSTP
2015-04-01,0.05,129.7262297012901,3154.3979581229196,91,3377.HK,2.435573617495569,0.019713455823536633,CHINA,RLEST
2015-04-01,0.1,259.4524594025802,6308.795916245839,91,3377.HK,2.435573617495569,0.019713455823536633,CHINA,RLEST
2015-04-01,0.15,389.17868910387017,9463.193874368757,91,3377.HK,2.435573617495569,0.019713455823536633,CHINA,RLEST
2015-04-01,0.2,518.9049188051604,12617.591832491678,91,3377.HK,2.435573617495569,0.019713455823536633,CHINA,RLEST
2015-04-01,0.25,648.6311485064504,15771.989790614596,91,3377.HK,2.435573617495569,0.019713455823536633,CHINA,RLEST
2015-05-01,0.05,305.8665698407505,5161.486216819875,91,2207.TW,3.460308133449143,0.01187878604063625,TAIWAN,CODIS
2015-05-01,0.1,611.733139681501,10322.97243363975,91,2207.TW,3.460308133449143,0.01187878604063625,TAIWAN,CODIS
2015-05-01,0.15,917.5997095222517,15484.458650459626,91,2207.TW,3.460308133449143,0.01187878604063625,TAIWAN,CODIS
2015-05-01,0.2,1223.466279363002,20645.9448672795,91,2207.TW,3.460308133449143,0.01187878604063625,TAIWAN,CODIS
2015-05-01,0.25,1529.3328492037526,25807.431084099368,91,2207.TW,3.460308133449143,0.01187878604063625,TAIWAN,CODIS
2015-06-01,0.05,229.84608470666598,4402.394511981631,91,ALI.PS,7.830538540804275,0.03577204927522541,PHILIPPINES,RLEST
2015-06-01,0.1,459.69216941333195,8804.789023963262,91,ALI.PS,7.830538540804275,0.03577204927522541,PHILIPPINES,RLEST
2015-06-01,0.15,689.5382541199979,13207.183535944885,91,ALI.PS,7.830538540804275,0.03577204927522541,PHILIPPINES,RLEST
2015-06-01,0.2,919.3843388266639,17609.578047926523,91,ALI.PS,7.830538540804275,0.03577204927522541,PHILIPPINES,RLEST
2015-06-01,0.25,1149.2304235333297,22011.97255990815,91,ALI.PS,7.830538540804275,0.03577204927522541,PHILIPPINES,RLEST
2015-07-01,0.05,214.08586651203558,4110.045425625843,91,3377.HK,7.751024574213132,0.03801547451740001,CHINA,RLEST
2015-07-01,0.1,428.17173302407116,8220.090851251685,91,3377.HK,7.751024574213132,0.03801547451740001,CHINA,RLEST
2015-07-01,0.15,642.2575995361067,12330.136276877527,91,3377.HK,7.751024574213132,0.03801547451740001,CHINA,RLEST
2015-07-01,0.2,856.3434660481423,16440.18170250337,91,3377.HK,7.751024574213132,0.03801547451740001,CHINA,RLEST
2015-07-01,0.25,1070.429332560178,20550.227128129216,91,3377.HK,7.751024574213132,0.03801547451740001,CHINA,RLEST
2015-08-01,0.05,254.7678872771795,5923.560745700511,91,3377.HK,7.777165645310383,0.03205279917673268,CHINA,RLEST
2015-08-01,0.1,509.535774554359,11847.121491401022,91,3377.HK,7.777165645310383,0.03205279917673268,CHINA,RLEST
2015-08-01,0.15,764.3036618315383,17770.682237101533,91,3377.HK,7.777165645310383,0.03205279917673268,CHINA,RLEST
2015-08-01,0.2,1019.071549108718,23694.242982802043,91,3377.HK,7.777165645310383,0.03205279917673268,CHINA,RLEST
2015-08-01,0.25,1273.8394363858974,29617.80372850255,91,3377.HK,7.777165645310383,0.03205279917673268,CHINA,RLEST
2015-09-01,0.05,108.30870130572742,3780.3934299182274,91,3377.HK,3.3753303982625793,0.032722180909284845,CHINA,RLEST
2015-09-01,0.1,216.61740261145485,7560.786859836455,91,3377.HK,3.3753303982625793,0.032722180909284845,CHINA,RLEST
2015-09-01,0.15,324.9261039171822,11341.180289754684,91,3377.HK,3.3753303982625793,0.032722180909284845,CHINA,RLEST
2015-09-01,0.2,433.2348052229097,15121.57371967291,91,3377.HK,3.3753303982625793,0.032722180909284845,CHINA,RLEST
2015-09-01,0.25,541.5435065286371,18901.967149591143,91,3377.HK,3.3753303982625793,0.032722180909284845,CHINA,RLEST
2015-10-01,0.05,130.82418125208423,5221.654128214015,91,3377.HK,5.196482439972674,0.04170717148580955,CHINA,RLEST
2015-10-01,0.1,261.64836250416846,10443.30825642803,91,3377.HK,5.196482439972674,0.04170717148580955,CHINA,RLEST
2015-10-01,0.15,392.4725437562527,15664.962384642045,91,3377.HK,5.196482439972674,0.04170717148580955,CHINA,RLEST
2015-10-01,0.2,523.2967250083369,20886.61651285606,91,3377.HK,5.196482439972674,0.04170717148580955,CHINA,RLEST
2015-10-01,0.25,654.1209062604212,26108.27064107008,91,3377.HK,5.196482439972674,0.04170717148580955,CHINA,RLEST
2015-11-01,0.05,137.21597578672598,3892.9196980959587,91,3377.HK,5.024790283453568,0.03845055043610045,CHINA,RLEST
2015-11-01,0.1,274.43195157345195,7785.839396191917,91,3377.HK,5.024790283453568,0.03845055043610045,CHINA,RLEST
2015-11-01,0.15,411.647927360178,11678.759094287874,91,3377.HK,5.024790283453568,0.03845055043610045,CHINA,RLEST
2015-11-01,0.2,548.8639031469039,15571.678792383835,91,3377.HK,5.024790283453568,0.03845055043610045,CHINA,RLEST
2015-11-01,0.25,686.07987893363,19464.598490479795,91,3377.HK,5.024790283453568,0.03845055043610045,CHINA,RLEST
2015-12-01,0.05,160.1963924055246,3649.676317470462,91,CPN.BK,4.9313430569,0.03232226476509863,THAILAND,RLEST
2015-12-01,0.1,320.3927848110492,7299.352634940924,91,CPN.BK,4.9313430569,0.03232226476509863,THAILAND,RLEST
2015-12-01,0.15,480.5891772165737,10949.028952411387,91,CPN.BK,4.9313430569,0.03232226476509863,THAILAND,RLEST
2015-12-01,0.2,640.7855696220984,14598.705269881848,91,CPN.BK,4.9313430569,0.03232226476509863,THAILAND,RLEST
2015-12-01,0.25,800.9819620276229,18248.38158735231,91,CPN.BK,4.9313430569,0.03232226476509863,THAILAND,RLEST
2016-01-01,0.05,145.05330096443603,3804.646553104628,91,SMPH.PS,5.209748950230402,0.03771190563311005,PHILIPPINES,RLEST
2016-01-01,0.1,290.10660192887207,7609.293106209256,91,SMPH.PS,5.209748950230402,0.03771190563311005,PHILIPPINES,RLEST
2016-01-01,0.15,435.1599028933081,11413.93965931388,91,SMPH.PS,5.209748950230402,0.03771190563311005,PHILIPPINES,RLEST
2016-01-01,0.2,580.2132038577441,15218.586212418511,91,SMPH.PS,5.209748950230402,0.03771190563311005,PHILIPPINES,RLEST
2016-01-01,0.25,725.2665048221802,19023.232765523135,91,SMPH.PS,5.209748950230402,0.03771190563311005,PHILIPPINES,RLEST
2016-02-01,0.05,183.67439444141598,2773.631937990802,93,0960.HK,5.102011073256527,0.02916634974195075,CHINA,RLEST
2016-02-01,0.1,367.34878888283197,5547.263875981604,93,0960.HK,5.102011073256527,0.02916634974195075,CHINA,RLEST
2016-02-01,0.15,551.023183324248,8320.895813972404,93,0960.HK,5.102011073256527,0.02916634974195075,CHINA,RLEST
2016-02-01,0.2,734.6975777656639,11094.527751963207,93,0960.HK,5.102011073256527,0.02916634974195075,CHINA,RLEST
2016-02-01,0.25,918.37197220708,13868.159689954007,93,0960.HK,5.102011073256527,0.02916634974195075,CHINA,RLEST
2016-03-01,0.05,197.9635652576988,3701.7783333464904,92,SMPH.PS,6.209796959255148,0.03293680227838962,PHILIPPINES,RLEST
2016-03-01,0.1,395.9271305153976,7403.556666692981,92,SMPH.PS,6.209796959255148,0.03293680227838962,PHILIPPINES,RLEST
2016-03-01,0.15,593.8906957730964,11105.335000039466,92,SMPH.PS,6.209796959255148,0.03293680227838962,PHILIPPINES,RLEST
2016-03-01,0.2,791.8542610307952,14807.113333385962,92,SMPH.PS,6.209796959255148,0.03293680227838962,PHILIPPINES,RLEST
2016-03-01,0.25,989.817826288494,18508.891666732445,92,SMPH.PS,6.209796959255148,0.03293680227838962,PHILIPPINES,RLEST
2016-04-01,0.05,145.89624728944545,3755.4337449114955,92,0960.HK,5.242447975644607,0.03772934860693332,CHINA,RLEST
2016-04-01,0.1,291.7924945788909,7510.867489822991,92,0960.HK,5.242447975644607,0.03772934860693332,CHINA,RLEST
2016-04-01,0.15,437.6887418683363,11266.301234734485,92,0960.HK,5.242447975644607,0.03772934860693332,CHINA,RLEST
2016-04-01,0.2,583.5849891577818,15021.734979645982,92,0960.HK,5.242447975644607,0.03772934860693332,CHINA,RLEST
2016-04-01,0.25,729.4812364472272,18777.168724557472,92,0960.HK,5.242447975644607,0.03772934860693332,CHINA,RLEST
2016-05-01,0.05,148.98988281044888,4089.4445611918118,92,SQMB.SN,2.8289403419096515,0.01993683935428142,CHILE,BMATR
2016-05-01,0.1,297.97976562089775,8178.8891223836235,92,SQMB.SN,2.8289403419096515,0.01993683935428142,CHILE,BMATR
2016-05-01,0.15,446.9696484313466,12268.333683575436,92,SQMB.SN,2.8289403419096515,0.01993683935428142,CHILE,BMATR
2016-05-01,0.2,595.9595312417955,16357.778244767247,92,SQMB.SN,2.8289403419096515,0.01993683935428142,CHILE,BMATR
2016-05-01,0.25,744.9494140522444,20447.22280595906,92,SQMB.SN,2.8289403419096515,0.01993683935428142,CHILE,BMATR
2016-06-01,0.05,181.25242189874461,3540.2953405005087,92,SQMB.SN,3.177928434319603,0.01840982217550548,CHILE,BMATR
2016-06-01,0.1,362.50484379748923,7080.590681001017,92,SQMB.SN,3.177928434319603,0.01840982217550548,CHILE,BMATR
2016-06-01,0.15,543.7572656962336,10620.886021501525,92,SQMB.SN,3.177928434319603,0.01840982217550548,CHILE,BMATR
2016-06-01,0.2,725.0096875949785,14161.181362002035,92,SQMB.SN,3.177928434319603,0.01840982217550548,CHILE,BMATR
2016-06-01,0.25,906.2621094937228,17701.476702502547,92,SQMB.SN,3.177928434319603,0.01840982217550548,CHILE,BMATR
2016-07-01,0.05,210.78120761789745,3985.090570674155,92,MXSC.KL,4.365916189765079,0.02174867508854754,MALAYSIA,TELCM
2016-07-01,0.1,421.5624152357949,7970.18114134831,92,MXSC.KL,4.365916189765079,0.02174867508854754,MALAYSIA,TELCM
2016-07-01,0.15,632.3436228536923,11955.271712022464,92,MXSC.KL,4.365916189765079,0.02174867508854754,MALAYSIA,TELCM
2016-07-01,0.2,843.1248304715898,15940.36228269662,92,MXSC.KL,4.365916189765079,0.02174867508854754,MALAYSIA,TELCM
2016-07-01,0.25,1053.906038089487,19925.452853370778,92,MXSC.KL,4.365916189765079,0.02174867508854754,MALAYSIA,TELCM
2016-08-01,0.05,145.14445862264404,3587.8515836400593,91,SQMB.SN,3.3938357905961594,0.024551592351111783,CHILE,BMATR
2016-08-01,0.1,290.2889172452881,7175.703167280119,91,SQMB.SN,3.3938357905961594,0.024551592351111783,CHILE,BMATR
2016-08-01,0.15,435.43337586793206,10763.554750920177,91,SQMB.SN,3.3938357905961594,0.024551592351111783,CHILE,BMATR
2016-08-01,0.2,580.5778344905762,14351.406334560237,91,SQMB.SN,3.3938357905961594,0.024551592351111783,CHILE,BMATR
2016-08-01,0.25,725.7222931132201,17939.257918200292,91,SQMB.SN,3.3938357905961594,0.024551592351111783,CHILE,BMATR
2016-09-01,0.05,167.71496098180953,4229.223924882513,91,SQMB.SN,2.8306913049140676,0.01772188868995498,CHILE,BMATR
2016-09-01,0.1,335.42992196361905,8458.447849765025,91,SQMB.SN,2.8306913049140676,0.01772188868995498,CHILE,BMATR
2016-09-01,0.15,503.1448829454286,12687.671774647537,91,SQMB.SN,2.8306913049140676,0.01772188868995498,CHILE,BMATR
2016-09-01,0.2,670.8598439272381,16916.89569953005,91,SQMB.SN,2.8306913049140676,0.01772188868995498,CHILE,BMATR
2016-09-01,0.25,838.5748049090477,21146.119624412568,91,SQMB.SN,2.8306913049140676,0.01772188868995498,CHILE,BMATR
2016-10-01,0.05,263.86083608403646,4036.3189570177424,91,SQMB.SN,5.96160488405381,0.023723433993299663,CHILE,BMATR
2016-10-01,0.1,527.7216721680729,8072.637914035485,91,SQMB.SN,5.96160488405381,0.023723433993299663,CHILE,BMATR
2016-10-01,0.15,791.5825082521093,12108.956871053226,91,SQMB.SN,5.96160488405381,0.023723433993299663,CHILE,BMATR
2016-10-01,0.2,1055.4433443361459,16145.27582807097,91,SQMB.SN,5.96160488405381,0.023723433993299663,CHILE,BMATR
2016-10-01,0.25,1319.304180420182,20181.594785088717,91,SQMB.SN,5.96160488405381,0.023723433993299663,CHILE,BMATR
2016-11-01,0.05,102.27596631320863,3761.9043682847087,90,SQMB.SN,3.364689407759432,0.034543050586569105,CHILE,BMATR
2016-11-01,0.1,204.55193262641725,7523.808736569417,90,SQMB.SN,3.364689407759432,0.034543050586569105,CHILE,BMATR
2016-11-01,0.15,306.8278989396258,11285.713104854125,90,SQMB.SN,3.364689407759432,0.034543050586569105,CHILE,BMATR
2016-11-01,0.2,409.1038652528345,15047.617473138835,90,SQMB.SN,3.364689407759432,0.034543050586569105,CHILE,BMATR
2016-11-01,0.25,511.37983156604315,18809.521841423542,90,SQMB.SN,3.364689407759432,0.034543050586569105,CHILE,BMATR
2016-12-01,0.05,142.05441068861387,4159.512344924419,91,SQMB.SN,6.48196466306928,0.0479116618993392,CHILE,BMATR
2016-12-01,0.1,284.10882137722774,8319.024689848839,91,SQMB.SN,6.48196466306928,0.0479116618993392,CHILE,BMATR
2016-12-01,0.15,426.16323206584156,12478.537034773257,91,SQMB.SN,6.48196466306928,0.0479116618993392,CHILE,BMATR
2016-12-01,0.2,568.2176427544555,16638.049379697677,91,SQMB.SN,6.48196466306928,0.0479116618993392,CHILE,BMATR
2016-12-01,0.25,710.2720534430692,20797.561724622094,91,SQMB.SN,6.48196466306928,0.0479116618993392,CHILE,BMATR
2017-01-01,0.05,172.08116058425588,4018.47478200383,93,SQMB.SN,6.879992728923442,0.04198014669846756,CHILE,BMATR
2017-01-01,0.1,344.16232116851177,8036.94956400766,93,SQMB.SN,6.879992728923442,0.04198014669846756,CHILE,BMATR
2017-01-01,0.15,516.2434817527675,12055.424346011487,93,SQMB.SN,6.879992728923442,0.04198014669846756,CHILE,BMATR
2017-01-01,0.2,688.3246423370235,16073.89912801532,93,SQMB.SN,6.879992728923442,0.04198014669846756,CHILE,BMATR
2017-01-01,0.25,860.4058029212792,20092.37391001915,93,SQMB.SN,6.879992728923442,0.04198014669846756,CHILE,BMATR
2017-02-01,0.05,108.13610197764312,3308.5579394333754,91,MXSC.KL,1.9831636032344082,0.019256490157437373,MALAYSIA,TELCM
2017-02-01,0.1,216.27220395528624,6617.115878866751,91,MXSC.KL,1.9831636032344082,0.019256490157437373,MALAYSIA,TELCM
2017-02-01,0.15,324.4083059329293,9925.673818300123,91,MXSC.KL,1.9831636032344082,0.019256490157437373,MALAYSIA,TELCM
2017-02-01,0.2,432.5444079105725,13234.231757733502,91,MXSC.KL,1.9831636032344082,0.019256490157437373,MALAYSIA,TELCM
2017-02-01,0.25,540.6805098882156,16542.789697166874,91,MXSC.KL,1.9831636032344082,0.019256490157437373,MALAYSIA,TELCM
2017-03-01,0.05,183.70379753537887,4353.864732682716,91,AC.PS,3.8917214751984024,0.02224400150558322,PHILIPPINES,RLEST
2017-03-01,0.1,367.40759507075774,8707.729465365432,91,AC.PS,3.8917214751984024,0.02224400150558322,PHILIPPINES,RLEST
2017-03-01,0.15,551.1113926061365,13061.594198048146,91,AC.PS,3.8917214751984024,0.02224400150558322,PHILIPPINES,RLEST
2017-03-01,0.2,734.8151901415155,17415.458930730863,91,AC.PS,3.8917214751984024,0.02224400150558322,PHILIPPINES,RLEST
2017-03-01,0.25,918.5189876768943,21769.323663413576,91,AC.PS,3.8917214751984024,0.02224400150558322,PHILIPPINES,RLEST
2017-04-01,0.05,192.13830328153207,3860.666925799751,88,AC.PS,4.246948065124284,0.02320877926066872,PHILIPPINES,RLEST
2017-04-01,0.1,384.27660656306415,7721.333851599502,88,AC.PS,4.246948065124284,0.02320877926066872,PHILIPPINES,RLEST
2017-04-01,0.15,576.4149098445962,11582.000777399251,88,AC.PS,4.246948065124284,0.02320877926066872,PHILIPPINES,RLEST
2017-04-01,0.2,768.5532131261283,15442.667703199004,88,AC.PS,4.246948065124284,0.02320877926066872,PHILIPPINES,RLEST
2017-04-01,0.25,960.6915164076603,19303.334628998753,88,AC.PS,4.246948065124284,0.02320877926066872,PHILIPPINES,RLEST
2017-05-01,0.05,192.33583973807615,3943.7180770004293,90,AC.PS,4.391955797936202,0.023976569286894463,PHILIPPINES,RLEST
2017-05-01,0.1,384.6716794761523,7887.436154000859,90,AC.PS,4.391955797936202,0.023976569286894463,PHILIPPINES,RLEST
2017-05-01,0.15,577.0075192142284,11831.154231001286,90,AC.PS,4.391955797936202,0.023976569286894463,PHILIPPINES,RLEST
