AUM ($M),Avg Impact (bps/mo),Hedged Sharpe,Unhedged Sharpe
50,0.08137585836818868,0.9010068647069999,0.44358944371004544
100,0.11508284255404456,0.9003592348433502,0.44336598195307764
200,0.16275171673637737,0.8994433592395601,0.443049960296529
500,0.2573330589947491,0.8976261803985621,0.442422935028513
1000,0.36392390207732994,0.8955783273074885,0.44171629847545685
2000,0.5146661179894982,0.8926823392104583,0.4407169733950529
5000,0.8137585836818869,0.8869367105351796,0.43873421486468406
10000,1.1508284255404457,0.8804621578700186,0.43649974973565425
20000,1.6275171673637738,0.8713068988729097,0.433339838274666
50000,2.573330589947491,0.8531456288524907,0.4270705021025035
