ym,threshold,cap_conservative,cap_10th_pctile,cap_median,binding_stock,binding_country,n_stocks
2019-01-01,0.05,0.5321785968653423,2.823617385547453,9.731450992751341,QEWC.QA,QATAR,92
2019-01-01,0.1,1.0643571937306846,5.647234771094906,19.462901985502683,QEWC.QA,QATAR,92
2019-01-01,0.15,1.5965357905960271,8.470852156642358,29.194352978254027,QEWC.QA,QATAR,92
2019-01-01,0.2,2.128714387461369,11.294469542189812,38.925803971005365,QEWC.QA,QATAR,92
2019-01-01,0.25,2.6608929843267117,14.118086927737265,48.65725496375671,QEWC.QA,QATAR,92
2019-02-01,0.05,0.5386422464314683,3.622043854452848,9.688802212672055,KLBF.JK,INDONESIA,93
2019-02-01,0.1,1.0772844928629366,7.244087708905696,19.37760442534411,KLBF.JK,INDONESIA,93
2019-02-01,0.15,1.6159267392944048,10.866131563358543,29.06640663801616,KLBF.JK,INDONESIA,93
2019-02-01,0.2,2.154568985725873,14.488175417811393,38.75520885068822,KLBF.JK,INDONESIA,93
2019-02-01,0.25,2.6932112321573416,18.11021927226424,48.444011063360264,KLBF.JK,INDONESIA,93
2019-03-01,0.05,0.5270357515286963,3.401569126511283,11.842451972892963,KLBF.JK,INDONESIA,94
2019-03-01,0.1,1.0540715030573926,6.803138253022566,23.684903945785926,KLBF.JK,INDONESIA,94
2019-03-01,0.15,1.5811072545860887,10.204707379533847,35.52735591867888,KLBF.JK,INDONESIA,94
2019-03-01,0.2,2.1081430061147852,13.606276506045132,47.36980789157185,KLBF.JK,INDONESIA,94
2019-03-01,0.25,2.635178757643481,17.007845632556418,59.212259864464805,KLBF.JK,INDONESIA,94
2019-04-01,0.05,0.38730276865250857,3.2274355970859077,13.832335320971607,KLBF.JK,INDONESIA,93
2019-04-01,0.1,0.7746055373050171,6.454871194171815,27.664670641943214,KLBF.JK,INDONESIA,93
2019-04-01,0.15,1.1619083059575255,9.682306791257721,41.49700596291482,KLBF.JK,INDONESIA,93
2019-04-01,0.2,1.5492110746100343,12.90974238834363,55.32934128388643,KLBF.JK,INDONESIA,93
2019-04-01,0.25,1.9365138432625428,16.13717798542954,69.16167660485803,KLBF.JK,INDONESIA,93
2019-05-01,0.05,0.5220052487865074,3.2078969853099237,9.984226920859296,KLBF.JK,INDONESIA,92
2019-05-01,0.1,1.044010497573015,6.4157939706198475,19.968453841718592,KLBF.JK,INDONESIA,92
2019-05-01,0.15,1.5660157463595221,9.62369095592977,29.95268076257789,KLBF.JK,INDONESIA,92
2019-05-01,0.2,2.08802099514603,12.831587941239695,39.936907683437184,KLBF.JK,INDONESIA,92
2019-05-01,0.25,2.6100262439325372,16.039484926549616,49.921134604296476,KLBF.JK,INDONESIA,92
2019-06-01,0.05,0.3636826121884995,2.7100696021762682,13.649546878329813,KLBF.JK,INDONESIA,94
2019-06-01,0.1,0.727365224376999,5.4201392043525365,27.299093756659627,KLBF.JK,INDONESIA,94
2019-06-01,0.15,1.0910478365654985,8.130208806528803,40.94864063498944,KLBF.JK,INDONESIA,94
2019-06-01,0.2,1.454730448753998,10.840278408705073,54.59818751331925,KLBF.JK,INDONESIA,94
