Country,Total TC (bps),Commission (bps),Spread (bps),Impact (bps),Avg Weight
PHILIPPINES,70,24.5,31.5,14.0,0.014818316903146096
INDONESIA,65,22.75,29.25,13.0,0.006949310063811229
BRAZIL,60,21.0,27.0,12.0,0.0102790530133989
COLOMBIA,60,21.0,27.0,12.0,0.0033101001614976233
CHILE,55,19.25,24.75,11.0,0.011142506456296664
RUSSIAN FEDERATION,55,19.25,24.75,11.0,0.010807643668005178
SOUTH AFRICA,55,19.25,24.75,11.0,0.0102326557473529
CHINA,50,17.5,22.5,10.0,0.009767695825692799
INDIA,50,17.5,22.5,10.0,0.009907837593946362
MEXICO,50,17.5,22.5,10.0,0.007117103628367501
TURKEY,50,17.5,22.5,10.0,0.00811257215238835
KUWAIT,45,15.749999999999998,20.25,9.0,0.004071056694273256
POLAND,45,15.749999999999998,20.25,9.0,0.004926837808008234
QATAR,45,15.749999999999998,20.25,9.0,0.004256877689025651
SAUDI ARABIA,45,15.749999999999998,20.25,9.0,0.010655344357881683
THAILAND,45,15.749999999999998,20.25,9.0,0.011658765310976257
UNITED ARAB EMIRATES,45,15.749999999999998,20.25,9.0,0.01154043584909289
MALAYSIA,40,14.0,18.0,8.0,0.009812158293117237
SOUTH KOREA,35,12.25,15.75,7.0,0.010025292626124204
TAIWAN,30,10.5,13.5,6.0,0.010542062267388408
HONG KONG,20,7.0,9.0,4.0,0.013305167623756577
