country,>=5,>=10,>=15,>=20,>=30,avg_stocks
CHINA,100.0,100.0,100.0,100.0,85.9,61.3
TAIWAN,100.0,100.0,100.0,100.0,100.0,54.2
SOUTH KOREA,100.0,100.0,100.0,100.0,100.0,53.1
INDIA,76.5,76.5,76.5,76.5,76.5,36.8
BRAZIL,100.0,100.0,90.60000000000001,76.5,37.6,25.5
SOUTH AFRICA,100.0,100.0,100.0,90.60000000000001,0.0,22.9
HONG KONG,100.0,85.9,75.3,32.9,0.0,17.7
MALAYSIA,100.0,84.7,42.4,14.099999999999998,0.0,13.9
MEXICO,100.0,100.0,37.6,0.0,0.0,13.2
INDONESIA,100.0,65.9,23.5,0.0,0.0,11.3
THAILAND,95.3,57.599999999999994,14.099999999999998,0.0,0.0,10.4
TURKEY,90.60000000000001,61.199999999999996,14.099999999999998,0.0,0.0,9.8
CHILE,95.3,28.199999999999996,0.0,0.0,0.0,8.1
PHILIPPINES,81.2,18.8,0.0,0.0,0.0,6.8
RUSSIAN FEDERATION,65.9,42.4,0.0,0.0,0.0,6.8
POLAND,71.8,0.0,0.0,0.0,0.0,6.2
SAUDI ARABIA,24.7,24.7,24.7,10.6,0.0,4.6
HUNGARY,0.0,0.0,0.0,0.0,0.0,3.0
UNITED ARAB EMIRATES,34.1,0.0,0.0,0.0,0.0,2.6
ISRAEL,32.9,0.0,0.0,0.0,0.0,2.6
QATAR,29.4,0.0,0.0,0.0,0.0,2.3
COLOMBIA,0.0,0.0,0.0,0.0,0.0,2.1
PERU,0.0,0.0,0.0,0.0,0.0,1.2
SINGAPORE,0.0,0.0,0.0,0.0,0.0,1.0
UNITED KINGDOM,0.0,0.0,0.0,0.0,0.0,1.0
EGYPT,0.0,0.0,0.0,0.0,0.0,1.0
CZECH REPUBLIC,0.0,0.0,0.0,0.0,0.0,1.0
KUWAIT,4.7,0.0,0.0,0.0,0.0,0.8
UNITED STATES,0.0,0.0,0.0,0.0,0.0,0.7
NETHERLANDS,0.0,0.0,0.0,0.0,0.0,0.4
LUXEMBOURG,0.0,0.0,0.0,0.0,0.0,0.4
MOROCCO,0.0,0.0,0.0,0.0,0.0,0.4
IRELAND,0.0,0.0,0.0,0.0,0.0,0.2
PAKISTAN,0.0,0.0,0.0,0.0,0.0,0.1
CAYMAN ISLANDS,0.0,0.0,0.0,0.0,0.0,0.1
JORDAN,0.0,0.0,0.0,0.0,0.0,0.1
