Factor,PC,Gross_Sharpe,Stock_TO,PC_TO,Total_TO,TC_Adj_Sharpe,TC_Drag_Ann,BreakEven_TC,Stability,DoF,r_Performance,r_Stability,r_Parsimony,r_TC_Robustness,r_LowTurnover,Composite
SF,MeanCVaR,0.49639743900694083,0.097070021468343,0.0230777525679165,0.1201477740362595,0.4462098111333912,0.006487979797958012,445.08747876257195,0.6971395000736696,1,0.775,0.6625,0.80625,0.95,0.9375,0.7956249999999999
Corr03-EW,MeanCVaR,0.5934559956566476,0.1771969065670755,0.0138493769071259,0.1910462834742014,0.51447989803149,0.010316499307606876,338.1468647805423,0.8965533086046601,2,0.9625,0.9,0.51875,0.775,0.4625,0.78
SF,TO_MVO,0.5476542586327178,0.097070021468343,0.0124305060983453,0.1095005275666883,0.5044232773022048,0.005913028488601167,570.0643584761222,0.7878025399598816,3,0.95,0.75,0.24375,1.0,0.9625,0.7675000000000001
SF,MinVariance,0.38252963120265143,0.097070021468343,0.0226558904097807,0.1197259118781237,0.3345749127524073,0.00646519924141868,358.96015992627997,0.9473177306012216,1,0.4,0.9875,0.80625,0.85,0.95,0.7506249999999999
Corr05-EW,TO_MVO,0.5631753272804999,0.1836209882475732,0.0084639550434761,0.1920849432910493,0.48969134219042365,0.010372586937716661,344.87636587152133,0.9493094529866346,4,0.9125,1.0,0.08125,0.8125,0.3875,0.7006249999999998
SF,MaxSharpe,0.46358240900042624,0.097070021468343,0.042198152536066,0.139268174004409,0.4093099478831658,0.007520481396238086,384.37925930697503,0.8134949158571266,2,0.625,0.7625,0.51875,0.8875,0.8375,0.69875
Corr03-ICwt,MeanCVaR,0.5362445846354609,0.1452648685089912,0.0251457022092696,0.1704105707182608,0.4649306442204318,0.009202170818786083,338.377127503534,0.8571950643690801,3,0.8375,0.85,0.24375,0.7875,0.625,0.693125
Corr03-ICwt,EqualWeight,0.5870687377256371,0.1452648685089912,0.0,0.1452648685089912,0.5304315564695459,0.007844302899485525,466.44435001454826,0.4051414812827172,2,0.9875,0.1875,0.51875,0.9625,0.7875,0.67
SF,EqualWeight,0.45801008938377236,0.097070021468343,0.0,0.097070021468343,0.41970264607070906,0.005241781159290521,538.0273972823811,0.30944053742495153,0,0.7,0.0625,0.96875,0.9875,1.0,0.6675
Corr03-ICwt,HRP,0.5428686593543779,0.1452648685089912,0.0553893292818568,0.200654197790848,0.46391475168094903,0.010835326680705791,309.40950727848974,0.7202158266696245,2,0.825,0.7125,0.51875,0.6875,0.3,0.6625
Corr05-EW,MaxSharpe,0.5533986850535604,0.1836209882475732,0.0329484694246921,0.2165694576722653,0.4686563705197254,0.011694750714302326,293.8666587572057,0.9290186533844648,3,0.85,0.9625,0.24375,0.6125,0.2,0.65625
SF,BlackLitterman,0.555635413502384,0.097070021468343,0.0556445933722723,0.1527146148406153,0.4939537871966941,0.008246589201393225,405.3653430551768,0.4290486489161845,2,0.9375,0.2375,0.51875,0.9125,0.7375,0.655
SF,InverseVol,0.4054138169782387,0.097070021468343,0.0100324931071404,0.10710251457548339,0.3627626335283776,0.005783535787076103,427.7401068007204,0.44568794502128045,0,0.4625,0.3375,0.96875,0.9375,0.975,0.655
Corr03-ICwt,InverseVol,0.5169462385621062,0.1452648685089912,0.009542362907173,0.1548072314161642,0.45462987820595346,0.008359590496472866,373.2981291324404,0.5213610389186702,2,0.7875,0.4375,0.51875,0.875,0.7125,0.651875
All6-EW,TO_MVO,0.5305009263314086,0.1841922508619055,0.0074294679507701,0.1916217188126756,0.4549049778109545,0.01034757281588448,315.7912844820542,0.848411751921974,3,0.8,0.825,0.24375,0.7375,0.425,0.648125
SF,HRP,0.43525638638760156,0.097070021468343,0.0636016924827805,0.1606717139511235,0.3707282526319103,0.008676272553360669,303.5348498005277,0.5946153673424307,0,0.5125,0.525,0.96875,0.6625,0.6875,0.646875
Corr03-EW,EqualWeight,0.5447997077314175,0.1771969065670755,0.0,0.1771969065670755,0.47569148050567556,0.009568632954622076,354.7477316677836,0.35423399303520803,1,0.8875,0.1375,0.80625,0.8375,0.575,0.6449999999999999
SF,RiskParity,0.44195149381968785,0.097070021468343,0.007390449519541,0.104460470987884,0.40033655111731903,0.005640865433345735,477.9008675831676,0.40758936169280335,1,0.6,0.2,0.80625,0.975,0.9875,0.63625
