ric,name,country,industry,total_contribution,avg_weight,months_held,avg_monthly_return,total_return
068270.KS,CELLTRION,SOUTH KOREA,HLTHC,0.0846306189881339,0.0238377849466555,124,0.018602904171400116,2.4080940106619986
207940.KS,SAMSUNG BIOLOGICS,SOUTH KOREA,HLTHC,0.05910243144498216,0.016288887922819406,98,0.02271151006017351,3.985303597162366
0700.HK,TENCENT HOLDINGS,CHINA,TECNO,0.056972216894295075,0.022158596708855702,112,0.021109468359038996,5.221531006027273
028300.KQ,HLB,SOUTH KOREA,HLTHC,0.0529657504055895,0.01487751110533554,48,0.036273863407755784,-0.2635237300191198
ADNA.NS,ADANI GREEN ENERGY,INDIA,UTILS,0.04673596088573765,0.040031249369301254,50,0.02206072397722704,-0.1969731313432873
3333.HK,CHINA EVERGRANDE SUSP,CHINA,RLEST,0.044309921151854476,0.03490968801313629,29,0.03502538471269384,0.661012485988353
2082.SE,ACWA POWER,SAUDI ARABIA,UTILS,0.03790886214098116,0.03550214509895645,26,0.038127588448193174,1.2888495042551096
TCS.NS,TATA CONSULTANCY SVS.,INDIA,TECNO,0.03199287873849259,0.021444634426940452,134,0.010427000428333204,1.9966425625615591
TLKM.JK,TELEKOMUNIKASI INDONESIA (PERSERO),INDONESIA,TELCM,0.031916432339832886,0.01799019595461675,102,0.00792335013396162,0.8088911322344974
2269.HK,WUXI BIOLOGICS CAYMAN,CHINA,HLTHC,0.03123436803789909,0.015291521586384874,43,0.01846784421643659,0.39574736307540714
BRTI.NS,BHARTI AIRTEL,INDIA,TELCM,0.030825741563586483,0.019285680278970423,67,0.018726492955383405,1.937101716360461
000660.KS,SK HYNIX,SOUTH KOREA,TECNO,0.030425440242824772,0.021869352404238145,103,0.013153878084139044,1.3448512405608843
003670.KS,POSCO FUTURE M,SOUTH KOREA,BMATR,0.030321308927574453,0.01177334895593294,38,0.017650448391402035,-0.10312108551044119
0241.HK,ALIBABA HLTH.INFO.TECH.,HONG KONG,COSTP,0.028009225563380525,0.013229436512250566,41,0.03127512540966443,1.4388791623962742
6098.HK,COUNTRY GARDEN SERVICES HOLDINGS,CHINA,RLEST,0.027378988548906594,0.016057655552551356,30,0.003567123442374768,-0.30596278836785795
PDD.O,PDD HOLDINGS ADS 1:4,IRELAND,TECNO,0.027355668804440264,0.018081514445150812,33,0.04479521091206397,1.1679246791571547
2330.TW,TAIWAN SEMICON.MNFG.,TAIWAN,TECNO,0.02690965396953098,0.01824047714093038,64,0.02125195513892184,1.8918679599714743
035720.KS,KAKAO,SOUTH KOREA,TECNO,0.02176805891636073,0.02086112665951352,106,0.009565200641740133,0.27251151994346134
090430.KS,AMOREPACIFIC,SOUTH KOREA,CODIS,0.021032879555990616,0.012208053724433926,85,-0.003533371623168966,-0.6135152476937997
2345.TW,ACCTON TECHNOLOGY,TAIWAN,TELCM,0.020250801973350323,0.022198550704225235,41,0.022617807513024404,1.002095402638827
